comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
Fuller Park,37,2549,-87.632427,41.809082,19.4,3.490778093,51.3,27.61259685,10.00136857,61.62521589,15.70205139,51.00525428,88.7,77.1
Englewood,68,24322,-87.642502,41.777201,16.9,12.14640825,51.3,32.20668893,16.31514806,45.98452096,30.16735713,56.00648745,70.8,47.4
West Garfield Park,26,17423,-87.730233,41.878602,16.2,8.98171784,52.9,23.80341917,16.53618673,50.76642495,23.27215021,63.353805,71.7,79.8
Greater Grand Crossing,69,31543,-87.616139,41.763251,15.6,8.474873625,54.8,22.31801302,22.35315262,42.5334889,26.75947377,53.65557404,65.1,43.9
Auburn Gresham,71,44959,-87.656305,41.744203,15.4,7.978832864,58.5,15.90060277,15.40125377,36.9358032,37.67461067,51.71566932,57.5,32.9
East Garfield Park,27,19995,-87.705892,41.878923,15.3,9.745644204,56.4,16.32313839,20.87942723,49.53437577,28.84534391,57.91668284,80.8,86.7
Burnside,47,2514,-87.59647,41.728181,15.3,18.11350012,47.1,20.31986175,8.563437635,34.43583372,52.68117785,48.37066627,58.7,37.6
West Englewood,67,29899,-87.666598,41.775926,15.2,11.5054717,49.8,23.24323884,11.01206355,45.05017484,34.67416678,61.39988577,67.7,41.6
Washington Park,40,12709,-87.617936,41.792356,15.1,9.067516958,56.1,17.97436045,24.17325053,43.35003642,33.90112707,58.61591873,69.4,66.7
Pullman,50,6866,-87.598252,41.706131,14.9,5.100668844,63.3,12.59034619,9.823361055,23.07983421,49.8146233,40.55321228,36.5,33.9
North Lawndale,29,34817,-87.717218,41.860197,14.5,11.61828214,57.0,21.75603393,20.24228703,44.90776024,30.21148652,60.72561003,68.9,98.7
Woodlawn,42,24630,-87.594924,41.778877,14.4,9.345498145,63.3,20.22184219,12.9426665,38.83935304,40.64997057,56.82782917,47.8,30.6
Austin,25,96753,-87.763117,41.894113,14.2,10.91563407,59.6,12.34270104,11.69814983,34.36138284,39.00671061,59.53000212,60.3,63.6
Chatham,44,31804,-87.615965,41.740206,14.2,10.33368903,58.3,15.28654674,11.13724427,34.36518747,34.96832852,55.53286844,46.8,43.7
Oakland,36,4280,-87.603217,41.823754,14.1,8.991401402,61.7,6.265596909,21.54574682,39.79699363,27.50611815,45.49788496,51.8,45.7
Roseland,49,38934,-87.623366,41.706588,14.0,9.706407532,53.3,21.02299414,14.65978277,33.38330915,39.88670899,53.84499814,62.4,41.2
Calumet Heights,48,13085,-87.57272,41.729673,13.9,5.88556315,58.7,10.76533138,8.210757574,17.61384428,45.5783089,34.48987318,28.4,20.8
Washington Heights,73,25075,-87.648897,41.717495,13.9,8.322540709,62.7,11.82873955,9.034933214,27.68631858,38.03539971,58.51073544,49.7,30.2
Riverdale,54,7229,-87.602849,41.660137,13.4,8.762128237,49.4,9.344914189,37.57389684,63.79220445,22.35295709,36.60837165,74.2,59.9
South Shore,43,45611,-87.57279,41.761583,13.1,7.66967933,57.7,18.88462482,13.30498887,38.72401881,33.8994511,51.48477759,45.8,30.5
West Pullman,53,25788,-87.635745,41.67382,12.8,10.60359015,52.4,19.33050923,14.71913722,32.66419431,33.44568442,49.24905276,53.2,39.7
South Chicago,46,25975,-87.551435,41.741243,12.7,9.715128034,52.4,21.82693261,14.51829071,37.7355754,31.21394243,51.73279229,51.1,44.2
Grand Boulevard,38,24586,-87.61786,41.812947,12.4,6.755379533,62.9,10.10095131,12.95474224,37.04506098,27.49151651,50.64255875,36.6,34.9
Douglas,35,17630,-87.61868,41.835122,12.0,7.984599479,59.3,9.069167546,10.25873624,30.6110468,50.56929638,42.28024693,21.8,37.7
Avalon Park,45,9359,-87.586347,41.744197,11.8,8.960023923,58.6,14.55130667,9.224365271,19.26523967,44.18984591,56.98617437,36.8,30.3
Chicago Lawn,66,55789,-87.695667,41.771849,10.8,15.93679694,63.0,11.06307791,9.961612941,32.1889909,39.58221625,60.7614804,32.4,30.9
Morgan Park,75,21714,-87.669062,41.689729,10.8,6.499145785,69.7,7.065120686,8.001481332,15.72094027,56.01368504,46.0426736,32.9,13.4
South Deering,51,14125,-87.570058,41.690639,10.7,8.470312395,56.9,13.16711225,16.37202501,36.62894508,27.46540432,62.1393399,29.9,26.3
Kenwood,39,14716,-87.596186,41.808918,10.3,7.400709359,71.2,10.6545317,8.87228177,24.18889937,50.3925004,52.12559155,18.6,7.7
Humboldt Park,23,53832,-87.720917,41.90008,10.2,14.89062484,65.2,9.0741496,15.68857625,32.45316583,34.05459597,54.37026229,27.4,63.0
Near West Side,28,67817,-87.663513,41.874016,10.0,4.038200715,77.1,10.94029238,5.141263234,11.32511816,69.72062187,38.29796848,9.0,39.5
Jefferson Park,11,26201,-87.771165,41.978836,9.8,7.801143114,80.7,7.729958992,3.500573915,9.460692566,57.34843653,37.89021138,2.5,21.4
Near South Side,33,27044,-87.620344,41.857196,9.2,3.733649906,79.9,4.530942443,3.472372648,11.79773229,72.59776682,31.67944145,3.5,19.8
Ashburn,70,41280,-87.708363,41.745756,9.2,11.01690479,71.2,3.049807611,6.823246878,15.2071617,73.81833238,60.13261739,20.9,10.3
Near North Side,8,95467,-87.633318,41.899611,9.2,2.230596458,76.9,15.5863573,1.738027663,4.480507966,85.08344664,33.0755891,3.2,13.6
New City,61,43510,-87.659171,41.809017,9.0,19.60128396,60.3,15.64383568,11.62812731,32.70372359,48.14201895,47.74903613,38.3,36.6
Montclare,18,14412,-87.798033,41.929306,8.9,8.982010459,74.2,6.799851729,8.606897486,14.75043978,76.38608396,66.35638411,11.7,18.7
Rogers Park,1,52772,-87.670171,42.00963,8.8,14.28420781,68.4,10.9442281,4.433981135,17.14122772,57.53503671,49.13058803,8.6,23.4
Armour Square,34,13847,-87.633976,41.842083,8.8,8.840978047,66.4,6.687698095,6.109287966,25.88617201,50.12406374,42.36372991,8.3,8.4
Uptown,3,52255,-87.655899,41.965822,8.7,9.620805744,74.8,7.780067252,3.059069198,15.42645152,56.47108956,44.96837289,6.5,24.4
Brighton Park,58,45141,-87.698859,41.817364,8.7,16.50716304,66.4,8.797244302,9.199281912,25.03414597,55.65888775,48.71112384,14.4,12.0
Lower West Side,31,33716,-87.66757,41.850277,8.5,13.1200757,70.5,10.85752679,6.224056247,16.2019522,59.31193379,37.04935661,10.4,17.1
Belmont Cragin,19,78151,-87.765502,41.927275,8.2,17.28339899,72.2,7.475224192,8.238324556,21.13088159,53.01635671,51.52711809,10.0,18.9
South Lawndale,30,71402,-87.714,41.839091,8.2,20.26453302,67.2,10.37364283,8.89690581,22.84175578,52.01102384,52.04969152,10.0,14.7
Irving Park,16,51911,-87.723457,41.953589,8.1,10.59214873,78.0,8.003021834,4.729319055,9.896906845,62.71213055,37.41119935,5.9,19.1
Dunning,17,43120,-87.806015,41.946522,8.1,10.32246784,79.4,5.575845613,3.395380228,6.868224376,85.3827836,34.57709658,2.8,20.5
Hegewisch,55,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,18.14342637,50.99414505,44.73183788,16.8,26.2
West Ridge,2,77139,-87.695017,42.001583,8.0,14.47786444,67.6,8.20503211,6.693774576,20.77475759,50.00705398,48.78421303,6.0,8.5
Beverly,72,19950,-87.675072,41.713148,7.9,2.626523225,84.7,7.923907103,2.915233835,5.138581093,58.50430447,26.08100528,10.7,12.1
Loop,32,39135,-87.625194,41.878881,7.8,2.830144027,79.3,14.33218657,1.493095973,2.111343797,94.79110451,34.03266599,1.2,14.8
Hyde Park,41,23914,-87.592305,41.794088,7.8,5.202569093,80.7,9.616310678,3.563470081,7.765021656,90.64335734,51.04129001,3.0,7.9
Bridgeport,60,33593,-87.648784,41.836151,7.7,8.750233671,71.3,6.686845284,4.545351213,11.05540234,66.16438485,35.86283779,4.6,15.5
East Side,52,21529,-87.534907,41.707306,7.5,12.48701561,62.9,8.557676546,11.56133719,21.35325945,45.18810098,36.59763338,13.6,17.8
North Park,13,17522,-87.723578,41.983651,7.4,9.698526393,72.0,7.873939201,4.107817455,14.42116185,58.81033776,39.79154524,4.2,8.1
Albany Park,14,48549,-87.721558,41.968078,7.4,17.1584564,75.1,8.486359115,7.710994836,15.9036066,55.77471209,41.70901305,4.2,15.0
West Town,24,87942,-87.676358,41.901216,7.4,5.076638887,80.4,7.568576726,3.383987994,7.194325802,69.39167124,28.83784881,6.5,21.6
Edgewater,77,47343,-87.663419,41.986719,7.4,8.619610545,76.3,10.06438296,1.805569096,9.581853016,72.69555036,41.59907432,2.0,19.9
Gage Park,63,39439,-87.696433,41.795429,7.3,15.80469469,66.5,7.659187837,9.098871509,26.64802362,46.72462246,51.46669443,19.0,14.7
Avondale,21,36245,-87.711219,41.938673,7.2,14.79087357,77.5,11.09325851,5.415950744,12.20934862,60.66962954,36.97929872,5.5,20.8
West Lawn,65,33543,-87.726927,41.769774,7.2,11.78779815,69.4,4.782687264,6.369290508,16.18720942,56.04601217,54.2316839,5.6,19.9
Portage Park,15,63038,-87.763401,41.954043,7.1,13.1230297,75.6,9.170525373,5.967496438,9.411111705,74.36045097,42.59224236,2.4,23.2
Logan Square,22,71742,-87.699149,41.922768,7.1,7.451660058,78.4,9.424221276,4.276809506,8.932811302,69.40252364,34.84907992,4.2,19.7
Hermosa,20,24127,-87.734741,41.924353,7.0,17.63434935,72.9,7.713896868,7.986754053,16.75398256,70.21060386,44.46595794,6.6,20.2
Lake View,6,91836,-87.656001,41.944236,6.9,3.785383342,83.1,7.764588586,1.9428283,3.775439414,83.27674977,35.00578311,1.4,13.9
West Elsdon,62,18249,-87.724213,41.792977,6.9,8.856372699,70.4,5.34884442,11.12060085,17.82308709,68.08330209,59.86718142,15.9,14.2
Forest Glen,12,19579,-87.758358,41.993938,6.8,6.846131374,83.1,3.342096366,2.075552083,4.94045846,71.12798864,25.68744833,1.7,17.3
Lincoln Square,4,40412,-87.687513,41.975182,6.6,9.104656545,81.7,6.649648014,3.733345507,7.013739342,71.97074657,39.84578757,1.9,12.9
Lincoln Park,7,63433,-87.649491,41.922696,6.6,2.429769482,82.1,9.496013824,1.373244845,3.405391163,81.80714449,31.88850368,0.5,9.5
McKinley Park,59,15927,-87.6725,41.829927,6.5,11.63189971,70.4,6.905258063,3.910246509,17.3341897,48.53846823,41.03840794,4.4,17.6
Clearing,64,24519,-87.768517,41.779582,6.4,7.512565604,75.0,4.445849157,5.546992387,12.91936081,54.33081505,50.19126202,6.7,29.0
North Center,5,35150,-87.683839,41.947811,6.3,2.555063044,83.5,9.309656619,3.101544582,4.384798107,85.90212412,25.45965746,0.5,12.6
Archer Heights,57,14282,-87.726365,41.810873,6.1,11.77030847,69.1,8.441189488,3.799375715,15.24606008,60.3973727,59.69412304,14.4,7.7
Mount Greenwood,74,18633,-87.713189,41.694876,6.1,2.709618218,88.8,4.666783763,3.752676671,2.411666127,92.54922668,27.42519335,4.5,14.2
Norwood Park,10,41109,-87.803451,41.985248,6.0,4.076038593,85.4,3.252703172,4.696556013,6.527929263,86.66492373,41.68988663,1.8,15.2
Garfield Ridge,56,35352,-87.764246,41.796185,5.8,8.335213351,75.2,4.173616385,3.026663033,7.709127678,72.3162362,35.66397009,8.1,21.1
O'Hare,76,14416,-87.893699,41.975696,5.7,16.85113086,71.8,4.862374112,4.038481957,7.102173832,73.24455612,47.03967046,1.3,17.9
Edison Park,9,11521,-87.81378,42.007627,5.0,1.509962511,88.1,7.226765785,1.62058086,1.408822591,92.71909655,40.60034748,1.9,11.1
