,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,School Name_x,pre_cov_att,post_cov_att,att_diff_pp,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate,dolla_per_student,pre_att_bucket,post_att_bucket
0,400147,74,63141,208,0.7451923076923077,0.9807692307692308,CHICAGO EXCEL HS,79.6625,68.2,11.462499999999991,Chicago Excel Academy HS,14.0,1.48,0.4,0.2,726268.0,6.730769230769231,1.0,51876.28571428572,19.7,64.4,7.8,0.0,23287.25,low,low
1,609682,59,53051,273,0.8644688644688645,0.9413919413919414,RICHARDS HS,78.0875,70.8125,7.275000000000006,,,,,,,,,,,,,,16548.14285714286,low,low
2,609737,13,47081,1635,0.6422018348623854,0.653211009174312,VON STEUBEN HS,92.3125,87.875,4.4375,,,,,,,,,,,,,,10103.285626911314,high,high
3,610304,29,55011,455,0.8835164835164835,0.953846153846154,PHOENIX MILITARY HS,94.6875,86.63749999999999,8.050000000000011,Phoenix Military Academy HS,32.0,2.0,0.0,0.0,2310157.0,7.032967032967033,0.4395604395604395,72192.40625,1.6,65.7,0.3,87.3,15813.006593406593,high,high
4,609693,24,53071,1194,0.7696817420435511,0.8802345058626466,WESTINGHOUSE HS,91.675,85.0375,6.637500000000003,,,,,,,,,,,,,,10704.509212730318,high,high
5,400130,70,66614,59,0.8813559322033898,0.9830508474576272,YCCS - YOUTH DEVELOPMENT,64.97083333333333,55.366666666666674,9.604166666666655,YCCS-Community Youth Dev Inst HS,7.0,0.0,0.0,0.0,267391.0,11.864406779661016,0.0,38198.71428571428,60.0,88.6,22.4,82.4,751.6610169491526,low,low
6,610340,17,46481,556,0.7913669064748201,0.8075539568345323,CHICAGO ACADEMY HS,93.1875,92.1375,1.0499999999999972,Chicago Academy High School,35.0,1.0,0.0,0.0,1802183.0,6.294964028776978,0.1798561151079137,51490.94285714286,2.0,28.4,0.4,92.4,11191.18345323741,high,high
7,400167,61,63181,738,0.8739837398373984,0.9823848238482384,HORIZON - SOUTHWEST,93.99583333333334,93.55,0.4458333333333399,,,,,,,,,,,,,,14115.991869918698,high,high
8,400172,22,66255,490,0.7612244897959184,0.9755102040816328,ASPIRA - BUSINESS & FINANCE HS,87.82083333333333,79.525,8.29583333333332,,,,,,,,,,,,,,17343.610204081633,high,high
9,400085,54,66394,638,0.8636363636363636,0.9780564263322884,ACERO - GARCIA HS,91.9,81.425,10.475000000000009,,,,,,,,,,,,,,15217.877742946708,high,high
10,609698,69,46041,637,0.7974882260596546,0.978021978021978,BOGAN HS,86.8125,74.375,12.4375,,,,,,,,,,,,,,15763.430141287285,high,low
11,609716,21,46191,491,0.8370672097759674,0.9613034623217924,KELVYN PARK HS,81.61250000000001,85.3375,-3.7249999999999934,Kelvyn Park High School,32.0,1.5,0.0,0.0,1724529.0,6.517311608961303,0.305498981670061,53891.53125,11.1,13.6,8.6,85.4,13618.01018329939,low,high
12,609740,25,51071,310,0.6903225806451613,0.8258064516129032,WELLS HS,88.0125,77.7875,10.225000000000009,,,,,,,,,,,,,,18189.96129032258,high,low
13,609756,54,53101,2903,0.8653117464691699,0.9634860489149156,CURIE HS,87.55000000000001,80.65,6.900000000000006,,,,,,,,,,,,,,10726.74784705477,high,high
14,400064,34,66051,365,0.8273972602739726,0.9753424657534246,PERSPECTIVES - JOSLIN HS,93.2,79.19999999999999,14.000000000000014,Perspectives Chtr - Joslin Campus,39.0,0.0,5.0,2.26,904148.0,10.684931506849315,1.989041095890411,23183.28205128205,4.1,87.7,1.0,0.0,15560.98904109589,high,high
15,400058,30,66091,313,0.9041533546325878,0.9968051118210862,NLCP - CHRISTIANA HS,94.15,79.0125,15.137500000000005,,,,,,,,,,,,,,15116.444089456869,high,high
16,609755,29,47101,2149,0.3624941833410889,0.4564913913448115,YOUNG HS,94.825,92.7625,2.062499999999986,,,,,,,,,,,,,,9428.691484411354,high,high
17,400161,50,66671,247,0.8704453441295547,0.9919028340080972,CHICAGO COLLEGIATE,91.0,79.775,11.224999999999994,Chicago Collegiate Charter School,24.0,1.0,1.0,0.2,1277044.0,9.7165991902834,0.8906882591093118,53210.16666666666,5.2,54.2,5.2,48.1,21088.178137651823,high,high
18,609720,46,46221,4476,0.3534405719392314,0.4110813226094727,LANE TECH HS,93.0125,92.0125,0.9999999999999858,,,,,,,,,,,,,,8002.222073279714,high,high
19,610563,59,46551,1005,0.9154228855721394,0.9731343283582088,BACK OF THE YARDS HS,92.3,85.625,6.674999999999997,Back of The Yards IB HS,75.0,3.0,1.0,0.0,3922879.0,7.462686567164178,0.3980099502487562,52305.05333333334,0.7,53.1,0.4,85.9,10808.194029850747,high,high
20,609762,72,46401,426,0.8380281690140845,0.9859154929577464,JULIAN HS,80.7625,73.23750000000001,7.524999999999991,,,,,,,,,,,,,,17113.244131455398,low,low
21,610391,65,46511,1390,0.5230215827338129,0.9553956834532374,LINDBLOM HS,90.6125,86.625,3.987499999999997,,,,,,,,,,,,,,10619.044604316547,high,high
22,400086,66,66441,155,0.8903225806451613,0.9870967741935484,URBAN PREP - ENGLEWOOD HS,92.025,84.92500000000001,7.099999999999994,Urban Prep Chtr Acad Englewood HS,23.0,1.0,0.5,0.5,730642.0,14.838709677419354,1.2903225806451613,31767.043478260868,,,,,20397.251612903226,high,high
23,609715,55,46181,1716,0.9213286713286714,0.8624708624708625,KELLY HS,90.0375,78.15,11.887499999999989,,,,,,,,,,,,,,12386.438228438228,high,high
24,400118,30,66575,347,0.8731988472622478,0.9971181556195964,NOBLE - DRW HS,87.3375,60.8875,26.450000000000003,,,,,,,,,,,,,,13773.319884726225,high,low
25,609729,16,46281,1279,0.856137607505864,0.924941360437842,SCHURZ HS,85.5125,74.82499999999999,10.687500000000014,,,,,,,,,,,,,,14533.664581704457,low,low
26,609748,32,49041,184,0.6684782608695652,0.9891304347826086,YORK HS,72.4375,62.225,10.212500000000006,,,,,,,,,,,,,,46261.288043478264,low,low
27,610357,32,46461,75,0.9066666666666666,0.9866666666666668,SPRY HS,85.82499999999999,62.3625,23.46249999999999,,,,,,,,,,,,,,41364.44,low,low
28,400173,55,66801,454,0.7819383259911894,0.9647577092511012,PATHWAYS - BRIGHTON PARK HS,72.275,65.375,6.900000000000006,,,,,,,,,,,,,,9506.83039647577,low,low
29,610385,32,55181,263,0.8479087452471483,0.9923954372623576,MULTICULTURAL ARTS HIGH SCHOOL,87.5625,85.475,2.0875000000000057,Multicultural Acad of Scholarshp HS,20.0,1.0,0.0,0.0,946924.0,7.604562737642586,0.3802281368821292,47346.2,8.1,0.0,2.2,87.9,13847.300380228136,high,high
30,609709,61,46141,330,0.8393939393939394,0.9818181818181818,GAGE PARK HS,89.6125,77.6875,11.924999999999995,Gage Park High School,26.0,1.0,0.0,0.0,1058288.0,7.878787878787878,0.303030303030303,40703.38461538462,10.2,78.2,11.3,84.8,17495.17575757576,high,low
31,400119,27,66641,242,0.8801652892561983,0.9958677685950412,LEGAL PREP HS,86.15,77.67500000000001,8.474999999999994,,,,,,,,,,,,,,15131.702479338843,low,low
32,400094,42,63081,325,0.9415384615384615,0.9476923076923076,EPIC HS,92.2875,79.9375,12.349999999999994,,,,,,,,,,,,,,23042.39076923077,high,high
33,609679,19,53041,1150,0.888695652173913,0.9739130434782608,PROSSER HS,88.35,83.625,4.724999999999994,,,,,,,,,,,,,,12003.240869565218,high,high
34,609680,37,70020,1230,0.3024390243902439,0.3333333333333333,PAYTON HS,92.45,91.7375,0.7124999999999773,,,,,,,,,,,,,,10022.534146341464,high,high
35,400022,25,63051,598,0.520066889632107,0.7290969899665551,CHIARTS HS,96.7,94.6875,2.012500000000003,,,,,,,,,,,,,,12102.051839464883,high,high
36,400169,19,66149,1094,0.783363802559415,0.9853747714808044,NOBLE - ITW SPEER HS,93.825,82.625,11.199999999999989,Noble St Chtr-ITW Speer Acad,43.0,7.0,1.0,0.4,2354930.0,3.930530164533821,0.7678244972577697,54765.81395348837,2.4,72.5,0.4,43.8,15594.344606946983,high,high
37,400059,30,66092,418,0.9473684210526316,0.9880382775119616,NLCP - COLLINS HS,94.1875,74.8125,19.375,,,,,,,,,,,,,,14103.916267942584,high,low
38,610380,4,55161,71,0.9154929577464788,0.9859154929577464,WILLIAMS HS,85.38749999999999,81.025,4.362499999999983,,,,,,,,,,,,,,41691.05633802817,low,high
39,609724,20,46241,1610,0.7888198757763976,0.6285714285714286,MATHER HS,88.775,82.57499999999999,6.200000000000017,,,,,,,,,,,,,,10825.254658385093,high,high
40,609769,34,49101,238,0.9201680672268908,0.9117647058823528,GRAHAM HS,81.82499999999999,81.75,0.0749999999999886,,,,,,,,,,,,,,27902.5756302521,low,high
41,610543,61,46101,1213,0.9043693322341304,0.9818631492168178,SOLORIO HS,94.0375,85.6,8.4375,,,,,,,,,,,,,,11027.910140148393,high,high
42,609692,40,53061,1142,0.9133099824868652,0.9921190893169878,SIMEON HS,87.1625,79.9,7.262499999999989,,,,,,,,,,,,,,12903.678633975482,high,high
43,609730,76,47061,1508,0.7241379310344828,0.6631299734748011,SENN HS,89.88749999999999,85.4625,4.424999999999983,,,,,,,,,,,,,,10868.024535809018,high,high
44,400053,25,66145,643,0.7900466562986003,0.9626749611197511,NOBLE - GOLDER HS,92.3625,72.6375,19.72500000000001,,,,,,,,,,,,,,15561.486780715397,high,low
45,609719,57,46211,1335,0.7925093632958802,0.8621722846441947,LAKE VIEW HS,86.6625,78.1875,8.474999999999994,Lake View High School,89.0,5.0,0.0,0.0,5049170.0,6.666666666666667,0.3745318352059925,56732.24719101124,5.2,64.4,1.2,89.4,11878.650187265917,high,high
46,609761,47,46391,288,0.8715277777777778,0.9930555555555556,CORLISS HS,84.6375,75.7,8.9375,,,,,,,,,,,,,,20554.36111111111,low,low
47,609735,59,53121,211,0.8199052132701422,0.8578199052132701,TILDEN HS,81.6,65.7,15.899999999999991,,,,,,,,,,,,,,20430.90047393365,low,low
48,609695,6,46031,1488,0.4092741935483871,0.508736559139785,AMUNDSEN HS,90.9625,84.375,6.587500000000006,Amundsen High School,75.0,3.0,0.0,0.0,4929496.0,5.040322580645161,0.2016129032258064,65726.61333333333,4.9,58.1,1.6,92.4,10330.239247311827,high,high
49,610402,46,46521,130,0.7076923076923077,0.7769230769230769,DEVRY HS,94.6,92.625,1.9749999999999943,,,,,,,,,,,,,,17110.292307692307,high,high
50,400117,70,66574,481,0.7817047817047817,0.9854469854469856,NOBLE - HANSBERRY HS,92.0375,78.9,13.137499999999989,,,,,,,,,,,,,,15822.989604989605,high,high
51,610569,77,65013,169,0.7041420118343196,0.6686390532544378,OMBUDSMAN - NORTHWEST HS,57.875,60.3375,-2.4624999999999986,,,,,,,,,,,,,,22860.28402366864,low,low
52,610561,29,46641,306,0.9019607843137256,0.9869281045751634,CRANE MEDICAL HS,88.13749999999999,73.7125,14.424999999999985,,,,,,,,,,,,,,18973.003267973858,high,low
53,400139,41,66623,306,0.8986928104575164,0.9869281045751634,YCCS - SULLIVAN,81.92083333333333,89.25,-7.329166666666666,,,,,,,,,,,,,,219.78758169934642,low,high
54,610529,25,24731,488,0.7049180327868853,0.8340163934426229,OGDEN HS,91.8,83.7625,8.037500000000009,,,,,,,,,,,,,,38417.44262295082,high,high
55,609753,73,47091,780,0.5025641025641026,0.7230769230769231,CHICAGO AGRICULTURE HS,93.75,90.075,3.674999999999997,,,,,,,,,,,,,,15153.465384615385,high,high
56,609674,41,53011,647,0.8222565687789799,0.9876352395672334,CHICAGO VOCATIONAL HS,87.675,76.9375,10.737499999999995,Chicago Vocational Career Acad HS,56.0,4.0,0.0,0.0,2853546.0,8.65533230293663,0.6182380216383307,50956.17857142857,11.1,74.4,5.3,82.6,17747.236476043276,high,low
57,400062,70,66053,347,0.8501440922190202,0.9913544668587896,PERSPECTIVES - TECH HS,91.125,79.5875,11.537499999999994,,,,,,,,,,,,,,15034.403458213257,high,high
58,610390,15,45221,457,0.7067833698030634,0.8205689277899344,RICKOVER MILITARY HS,90.75,85.3125,5.4375,,,,,,,,,,,,,,13316.66739606127,high,high
59,400013,22,66254,262,0.8625954198473282,1.0,ASPIRA - EARLY COLLEGE HS,90.425,85.1125,5.312500000000014,ASPIRA Charter - Early College Prep HS,30.0,2.0,1.0,1.0,1576839.0,11.450381679389311,1.5267175572519085,52561.3,1.6,59.8,0.0,0.0,18543.84351145038,high,high
60,610547,39,46631,508,0.7618110236220472,0.9921259842519684,SOUTH SHORE INTL HS,89.725,78.30000000000001,11.424999999999985,South Shore Intl Col Prep HS,41.0,2.0,0.0,0.0,2740568.0,8.070866141732283,0.3937007874015747,66843.12195121951,4.6,75.7,0.2,88.3,14816.795275590552,high,high
61,610518,26,46621,176,0.8181818181818182,0.9943181818181818,AUSTIN CCA HS,83.275,53.225,30.05000000000001,,,,,,,,,,,,,,24297.517045454544,low,low
62,609732,19,46291,1131,0.7851458885941645,0.924845269672856,STEINMETZ HS,86.625,74.88749999999999,11.737500000000011,,,,,,,,,,,,,,12389.227232537578,high,low
63,400052,67,66146,1020,0.7549019607843137,0.9823529411764704,NOBLE - COMER,92.4125,81.8125,10.599999999999994,,,,,,,,,,,,,,16870.620588235295,high,high
64,400054,21,66142,968,0.9008264462809916,0.9803719008264464,NOBLE - PRITZKER HS,94.65,86.7875,7.862500000000011,,,,,,,,,,,,,,14885.478305785124,high,high
65,609710,45,51021,272,0.8308823529411765,0.9963235294117648,HARLAN HS,82.55000000000001,70.26249999999999,12.287500000000025,,,,,,,,,,,,,,20369.6875,low,low
66,609726,45,47051,965,0.6414507772020726,0.978238341968912,BROOKS HS,88.9,87.55,1.3500000000000083,,,,,,,,,,,,,,11205.294300518135,high,high
67,400098,38,66573,823,0.8165249088699879,0.9356014580801943,NOBLE - MUCHIN HS,94.8125,80.8125,14.0,,,,,,,,,,,,,,17097.823815309843,high,high
68,609749,13,46061,1041,0.3544668587896253,0.3429394812680115,NORTHSIDE PREP HS,93.85,92.8875,0.9624999999999916,,,,,,,,,,,,,,10208.184438040345,high,high
69,400033,72,66061,1241,0.7832393231265109,0.991941982272361,CICS - LONGWOOD,88.3375,79.4,8.9375,CICS - Longwood Campus,63.0,1.0,1.0,0.5,3427087.0,5.07655116841257,0.201450443190975,54398.206349206346,3.3,65.6,0.0,7.6,14972.80741337631,high,high
70,610384,32,55151,405,0.928395061728395,0.982716049382716,INFINITY HS,92.6125,88.125,4.487500000000011,,,,,,,,,,,,,,12142.172839506173,high,high
71,609744,13,49021,264,0.7386363636363636,0.7159090909090909,NORTHSIDE LEARNING HS,91.2375,84.275,6.962499999999992,Northside Learning Center,33.0,1.0,0.0,0.0,417134.0,12.5,0.3787878787878788,12640.424242424242,,,,,35938.583333333336,high,high
72,609766,15,49081,194,0.7474226804123711,0.7731958762886598,VAUGHN HS,87.275,83.30000000000001,3.9749999999999934,,,,,,,,,,,,,,41700.52577319588,high,high
73,610323,42,46491,202,0.8712871287128713,0.9603960396039604,BOWEN HS,84.0,74.01249999999999,9.987500000000011,Bowen High School,22.0,1.0,0.0,0.0,1113318.0,10.891089108910892,0.495049504950495,50605.36363636364,11.9,74.4,7.3,88.9,27036.69801980198,low,low
