finance_id,fy_2022_proposed_budget
25871,6504830.0
29111,4918846.0
66255,8498369.0
66254,4858487.0
66351,2373078.0
24191,7612464.0
63011,5924916.0
11201,5238553.0
12410,8523298.0
12430,1708926.0
66392,3521421.0
66602,7532591.0
66393,6289173.0
66601,3519239.0
66399,7205579.0
66394,9709006.0
66131,3194026.0
66397,7456272.0
66396,7432509.0
66133,7074359.0
66391,3821637.0
66395,7662077.0
66398,6529527.0
66134,8354043.0
66137,7855754.0
26291,6191624.0
25471,13668165.0
23791,5873825.0
45231,3663463.0
46471,4858662.0
66151,6083652.0
32011,3088882.0
46221,35817946.0
29371,5383489.0
70241,4597667.0
25681,7722771.0
22301,6279612.0
22231,9794425.0
23391,4732587.0
23501,5325271.0
24691,7095524.0
22131,3717332.0
24981,2774373.0
26441,2905474.0
26521,5209057.0
22551,6109970.0
29171,4846475.0
22841,3381421.0
29211,2527373.0
23421,5684139.0
25331,5181689.0
69228,4124215.0
24171,4566116.0
22971,5477312.0
22541,8592371.0
26191,4855620.0
10890,5300642.0
32081,5784737.0
66191,4814103.0
11210,5252671.0
22091,5211067.0
22421,5187930.0
46621,4276363.0
22101,3383817.0
46551,10862235.0
26732,25836.0
26731,5280806.0
29321,12036201.0
26771,6578735.0
46421,18175879.0
26321,4922470.0
24551,5881522.0
25371,3865176.0
30071,6392631.0
10110,1378906.0
22371,8129562.0
46491,5461413.0
22311,6391847.0
23561,3804658.0
24781,6832534.0
26451,5018435.0
26181,3404089.0
55191,2854496.0
12610,7971920.0
22431,6296462.0
29021,5524520.0
12280,1104168.0
66075,5510025.0
11890,3483573.0
22511,3313132.0
26821,7723299.0
63141,4843748.0
63142,3774503.0
63143,2948420.0
63144,2120462.0
66011,1269842.0
46281,18588557.0
24201,6883222.0
25941,4401066.0
22571,5674749.0
26541,4571067.0
46381,6126882.0
31211,8417112.0
66433,16543897.0
66432,6791127.0
25151,10064262.0
53041,13803727.0
23901,3540206.0
23531,4484484.0
22901,11499825.0
26621,4027492.0
31151,3456516.0
23821,4998773.0
46291,14012216.0
22881,6504125.0
23721,3361194.0
22361,2705371.0
22931,5619393.0
31221,4006810.0
23031,4493227.0
45211,6321812.0
46481,6222298.0
66671,5208780.0
47091,11819703.0
63051,7237027.0
66371,6604318.0
66231,8297388.0
66071,9136613.0
66061,18581254.0
66241,14016233.0
66161,5584327.0
66072,3100630.0
66181,6617835.0
66221,6972937.0
66381,9141684.0
66074,7144027.0
66076,3949368.0
66281,8809717.0
70070,4872871.0
63091,5449777.0
53011,11482462.0
10816,1169430.0
10465,1840845.0
10415,500481.0
23051,8017850.0
46111,4897385.0
22791,2635622.0
66661,6913554.0
10875,30448203.0
22151,5270337.0
31301,7284276.0
10870,1515993.0
49131,4577723.0
20071,9365638.0
10510,1672144.0
49041,8512077.0
10850,3175063.0
10855,8083503.0
23891,2665393.0
30141,6910741.0
31041,3298784.0
24431,7026471.0
22271,9065559.0
30051,8759605.0
55161,2960065.0
22851,5952601.0
22531,8038026.0
25811,6583633.0
25791,3754829.0
53091,9889884.0
5261,3091664.0
10825,2527998.0
46521,2224338.0
22951,4698583.0
22751,10799735.0
26921,11981626.0
11672,6911476.0
11674,82453398.0
11675,219586804.0
11673,10787900.0
11610,33294473.0
24571,7518452.0
25591,4999787.0
22581,9736949.0
46371,7616300.0
26371,3936285.0
53021,6616241.0
26831,8024830.0
26051,4609047.0
63081,7488777.0
11360,1024389.0
11385,101806569.0
13725,7701952.0
13727,11441016.0
29261,2734613.0
23071,4272669.0
28081,6065437.0
22411,5059018.0
12670,786953301.0
23101,6574223.0
22771,4664540.0
22631,7716671.0
23141,3175134.0
25491,3859783.0
26431,2568564.0
23911,7930015.0
53121,4310920.0
46131,9587188.0
25841,8515906.0
22681,6448296.0
25561,7071053.0
25921,7279685.0
53051,4517643.0
24511,4149112.0
47031,3086960.0
23611,8079794.0
24441,4519393.0
46691,11837249.0
25631,10008131.0
46101,13376855.0
66331,5618235.0
25031,7023323.0
23131,3826691.0
23211,2246727.0
22871,10126059.0
26461,3923312.0
10710,1502953.0
14040,1343212.0
11860,1815503.0
11880,420448845.0
26701,5595086.0
14060,7370563.0
22341,8053881.0
24871,9074676.0
23201,3188228.0
11810,1580006.0
24671,11522218.0
23241,5476834.0
23261,5221300.0
24451,8653159.0
31181,5981542.0
41041,3963887.0
22241,3887795.0
23321,5674085.0
29121,7729156.0
25101,8681686.0
29081,3875598.0
25291,7061060.0
29411,3425901.0
26901,179765.0
22721,6127974.0
41061,2481611.0
23291,6274364.0
30081,4629197.0
47081,16518872.0
10406,396563.0
23921,5204845.0
69103,231685.0
46141,5773408.0
29141,6322817.0
26351,5861353.0
22081,12643365.0
24421,5542064.0
25571,7445991.0
22651,5302948.0
46391,5919656.0
26391,5882784.0
25041,4601472.0
24311,5127933.0
22191,3177632.0
23061,5287153.0
25621,4133447.0
22621,5639166.0
46331,15822501.0
25771,7170467.0
53071,12781184.0
29071,6027135.0
12625,38328199.0
66951,6271358.0
55171,4772869.0
22741,7386075.0
46341,18131816.0
47051,10813109.0
46021,10055215.0
25431,4732764.0
24461,17311715.0
51021,5540555.0
24921,4280144.0
46151,86799.0
25521,7382863.0
29271,5846139.0
22031,5716030.0
29131,5898949.0
24891,11421179.0
23711,4413839.0
23591,10593772.0
22731,7194243.0
24221,9703001.0
24641,3813413.0
26281,5089813.0
22761,6695167.0
25441,5780255.0
22221,5940143.0
63031,4197541.0
22661,5575679.0
24331,4012100.0
63181,10417602.0
46171,10311868.0
45221,6085717.0
55151,4917580.0
12510,100868426.0
13610,3787105.0
10320,6542957.0
66921,1675900.0
63131,9565687.0
29191,7260632.0
10450,1408729.0
66691,15566887.0
22641,3295411.0
22441,9957443.0
24931,6988575.0
26251,4008953.0
24751,6737985.0
23341,7103999.0
26061,2343255.0
22211,4429545.0
49081,8089902.0
23161,7850465.0
24471,9814091.0
29181,2572929.0
22261,8502279.0
23681,6662208.0
24301,3485201.0
24531,8504497.0
25601,5295256.0
24791,6304118.0
22991,3617006.0
24251,5941799.0
25361,6703365.0
27091,6559398.0
25711,6406117.0
25751,6259599.0
26231,4163233.0
24651,7084037.0
22021,6933356.0
22201,9591786.0
29341,4961880.0
23351,5777800.0
25351,4344595.0
25731,5413437.0
23011,4592161.0
24621,6503160.0
22141,6094635.0
22481,5199869.0
22821,8721358.0
23001,8642738.0
23481,6221533.0
25381,5896525.0
23041,12512589.0
46201,16494849.0
23221,6179204.0
26141,7503347.0
25861,3035147.0
23441,5191296.0
23511,7109757.0
24071,9023292.0
29311,3321703.0
23581,5684248.0
31111,4404649.0
29251,6212084.0
24361,8571221.0
24821,7786831.0
25411,6490390.0
47041,4329110.0
25451,5469863.0
26201,6416183.0
24971,3781692.0
22801,4953492.0
23301,7107157.0
25831,4607845.0
26751,3412549.0
22471,4645142.0
25241,6888957.0
22811,6157949.0
31261,7426799.0
23411,6493008.0
25991,5726335.0
23311,10144565.0
23961,5268406.0
23251,3479731.0
24241,4115959.0
25761,3135391.0
24231,12616046.0
23991,4640100.0
24961,5604739.0
24021,10035534.0
23851,4650067.0
66031,7517922.0
66261,10993149.0
66032,11243147.0
66931,8522817.0
23971,3691704.0
46191,6686443.0
46361,18952845.0
66567,4391868.0
66211,6846302.0
66562,5453825.0
66566,2173289.0
66561,5669464.0
66564,6251770.0
10910,2742215.0
29101,6721300.0
46211,15857998.0
22451,7389864.0
11510,1117481.0
11540,13548851.0
29161,5781474.0
23151,10624912.0
24991,6015062.0
25671,4996800.0
10210,15404104.0
31161,3484721.0
24051,11500236.0
66563,4951598.0
67071,6217955.0
66641,3661872.0
29051,5823839.0
24151,5329638.0
22181,6235342.0
46321,20220511.0
46511,14760472.0
32021,6216773.0
13700,2773168.0
63161,1912339.0
22521,8311168.0
41091,7476331.0
24661,7653075.0
24851,7158404.0
22041,7633259.0
25931,3665651.0
24801,4528416.0
22401,9782340.0
69086,26352.0
22391,7843687.0
10845,10444433.0
26651,5357222.0
25581,6307977.0
53111,3156827.0
22861,4345223.0
24951,3524293.0
29151,10576811.0
22921,7797624.0
53101,31139749.0
41111,9854397.0
29201,5594762.0
29281,10368352.0
25661,9800434.0
10560,2358089.0
24341,11889224.0
25181,4904513.0
22691,9857608.0
26421,2357635.0
24941,9014340.0
24281,12509515.0
29091,8364853.0
26591,3803889.0
23271,4378065.0
69063,42442.0
24371,3681530.0
22501,6807842.0
41051,7923336.0
22491,5673483.0
23931,9093464.0
46251,12432555.0
26091,3917244.0
24591,9321752.0
24601,3368992.0
66911,8619491.0
55181,3641840.0
22291,5798430.0
66271,6396495.0
30011,8768964.0
23491,9048868.0
22891,8418479.0
23431,4704396.0
32031,7739148.0
53061,14736001.0
2411,1470554.0
2501,1596094.0
2511,1866914.0
2521,1531655.0
2531,1680503.0
2641,722154.0
2651,536574.0
2661,698434.0
2671,702860.0
2421,1277647.0
2431,1673042.0
2441,1521553.0
2451,1641176.0
2461,1369185.0
2471,1362479.0
2481,1446837.0
2491,1434675.0
11110,5023023.0
22071,7686766.0
22171,9319660.0
47061,16388981.0
31101,4412721.0
66577,3440470.0
66576,8662998.0
66575,4779342.0
66574,7610858.0
66148,7269910.0
66579,16512765.0
66141,10319067.0
66572,15935465.0
66146,17208033.0
66145,10006036.0
66573,14071509.0
66142,14409143.0
66143,9551788.0
66144,6183884.0
66147,13073087.0
66578,6652238.0
66149,17060213.0
22321,9560846.0
46431,12706738.0
66091,4731447.0
66092,5895437.0
26841,3710432.0
46061,10626720.0
49021,9487786.0
41121,6155007.0
24711,4401333.0
12010,2413150.0
12050,143921045.0
12120,1333702.0
10430,2441576.0
15500,950029.0
10811,2918285.0
14050,15383531.0
10760,4859175.0
29301,9048428.0
26381,5414192.0
23831,2498948.0
65014,6432995.0
65013,3863388.0
65015,3535429.0
69617,2784365.0
24771,6627279.0
31281,5472844.0
28151,4349463.0
22331,5090406.0
26631,7758534.0
24401,7438639.0
24011,4472388.0
24841,4169553.0
31201,3902849.0
65016,4362254.0
66801,4316101.0
69618,2079043.0
65018,4316499.0
23731,5810591.0
23881,4234869.0
25121,2905669.0
12450,4395379.0
67021,3944929.0
12470,883112459.0
46401,7290242.0
22161,5473526.0
66053,5216938.0
66052,8119353.0
66056,5814169.0
66051,5679761.0
25111,9524590.0
22831,6600679.0
22061,4361970.0
29221,5219886.0
25141,8807425.0
23671,5503509.0
55011,7194918.0
31141,4333022.0
63021,2804521.0
67081,4959200.0
11220,1558352.0
25011,9363961.0
10814,12940035.0
2541,6300904.0
12210,2892888.0
66471,5255997.0
26031,5756665.0
22601,9492161.0
31061,4824533.0
25061,5687860.0
49101,6640813.0
11910,22575266.0
23081,16114436.0
26331,7706638.0
25951,6040137.0
24741,5293373.0
46641,5805739.0
25911,6384998.0
12460,14724226.0
46031,15371396.0
29381,5277727.0
23281,4890944.0
23651,11769940.0
23381,10800180.0
23461,5191182.0
51091,9602043.0
24101,4568757.0
46301,9404864.0
26301,6479501.0
24631,4076092.0
24381,4515940.0
66571,11696325.0
30101,4304583.0
24081,3900837.0
23811,5622598.0
22711,4435080.0
10615,51590268.0
22701,7344265.0
26721,8646815.0
46611,10740358.0
25211,5466637.0
10610,6763717.0
11940,126292218.0
10871,8138068.0
22281,4922212.0
23551,6847784.0
25231,12024580.0
49051,2289079.0
29391,3485169.0
22591,4624750.0
10813,2470440.0
10895,3492585.0
10898,10324420.0
23521,3506459.0
23751,8029103.0
22251,5613816.0
46631,7526932.0
49031,10728244.0
13737,24216463.0
46461,3102333.0
29031,3018266.0
31081,4718207.0
23621,9650904.0
46241,17428660.0
29291,6099629.0
11371,12423313.0
11870,4671354.0
26881,5500476.0
11010,29571433.0
11070,17968429.0
26781,5302296.0
26791,9844550.0
11551,3680934.0
10810,16202294.0
29361,3092588.0
23231,4051132.0
66591,4031880.0
23771,6858621.0
46271,12634334.0
25391,3106124.0
29011,2634010.0
31121,4495557.0
22671,4223232.0
23021,3846660.0
23871,2961824.0
31251,3750170.0
25781,5840249.0
46181,21255128.0
12440,1540187.0
29041,3512108.0
66321,5429767.0
66111,3338269.0
66112,9623271.0
26861,4651864.0
66441,3161574.0
66442,4891513.0
26891,3663894.0
23361,3967667.0
29401,13863431.0
46681,6924485.0
29231,5808293.0
70020,12327717.0
23451,4660690.0
30031,10088017.0
25401,8683791.0
24881,4882567.0
51071,5638888.0
24811,4907792.0
24131,5122254.0
46261,7892150.0
23641,4581653.0
24721,6252490.0
22381,7872042.0
47101,20262258.0
25881,5265847.0
26021,5840942.0
24731,18747712.0
29241,3691784.0
23371,7710607.0
25091,4143034.0
26601,3626896.0
22941,7565156.0
23541,4663744.0
23801,9334424.0
22351,4638602.0
25021,5281947.0
25071,6884101.0
25191,6915457.0
25301,6446622.0
46311,36811221.0
46041,10041305.0
24761,6716037.0
47021,17236145.0
25541,7236418.0
23401,10775088.0
24681,7264124.0
24911,4232472.0
25341,3710991.0
22611,3802365.0
30121,4492692.0
24611,6569011.0
23631,2984124.0
52011,5028859.0
66631,99183.0
66614,44348.0
66617,86576.0
66618,68648.0
66623,67255.0
66627,46294.0
66629,74008.0
66107,67120.0
66101,50067999.0
