,att_diff_pp,perc_low_income,perc_black_his_stu,bus_count,dolla_per_student,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
att_diff_pp,1.0,0.5886646010791048,0.6635348350230198,0.1312157715626275,0.4665465194908968,0.0026780136668571996,0.1865866859421758,-0.0713081733407561,0.2213594429182788,-0.26925649771658344,-0.28721309477761325,-0.22423461261084077,-0.13674577877456778,-0.09596080262247551,-0.3838971520378413,-0.3484250230722312,0.021702970771882258,0.04828378172663678,0.2817132346811544,0.0031820324531538404,-0.23208420855889078,0.2694115128170376,0.0927432565803667,-0.22210157993344842,-0.15824564347183376,0.24703216705871522,-0.1954835624031586,0.3306121158842031,0.24323256167962112,0.23033235197048374
perc_low_income,0.5886646010791048,1.0,0.8766374538783196,0.0978866925580889,0.30569575282370853,0.041418215003864306,-0.09002904517703265,0.11573939366948843,-0.10424899038422038,0.12573648241062427,0.08285589185232645,0.14193993077158018,0.17001157484194335,0.2699195642061025,-0.10283684811158152,-0.08269832373570378,-0.11676613993561087,0.2606199767850568,-0.056213457524086324,0.016087464639654787,0.08433259322951735,0.08173821528254892,-0.18136921023356747,-0.053838275998453186,-0.13663365134709904,-0.10334372285044918,0.1319637662125826,-0.044834293824558835,-0.1016143076417323,-0.06563689902834305
perc_black_his_stu,0.6635348350230198,0.8766374538783196,1.0,0.07266147596182547,0.3168830376346849,0.07518150768485068,-0.10847293839960026,0.09465826264385123,-0.017984327991654354,0.029963142661111532,-0.08004834624482443,0.11980441313169474,0.1740792887671426,0.21185594346051814,-0.15786468429476178,-0.14340752849225522,-0.11205609139210636,0.17359755506137883,0.10930836583127732,-0.15174389980408173,-0.012110424942185331,0.19445981474108073,-0.058572704023047886,-0.13911380139684143,-0.10863120057710926,0.005787621682135907,0.024039385359837687,0.041903311536540394,0.07718827265163146,0.052480888533498894
bus_count,0.1312157715626275,0.0978866925580889,0.07266147596182547,1.0,0.4014370472394595,0.03176848276767625,-0.08356642370059729,0.033901522825468274,-0.04317617828859459,0.1143460368699207,0.04799238793266017,0.05486704502430537,0.12490166787680156,0.005690337480008764,-0.15159965002782344,-0.06698910692128181,0.11043582500791353,0.06803125554769975,-0.02650214886809824,0.02451834663679257,0.014926077809387327,0.048225514478953714,-0.1391250410015452,0.03147277389069188,-0.045881554661459566,-0.004055661232393075,0.04928742038584312,0.07477373393128735,-0.03592359962036604,-0.10283326268454475
dolla_per_student,0.4665465194908968,0.30569575282370853,0.3168830376346849,0.4014370472394595,1.0,-0.15783299384259836,-0.09594324625863684,0.21121057764023132,-0.10291595991783536,0.10928758751160796,0.0006486663934519524,0.05796903376857384,0.17236270892532535,0.2177602885912711,-0.10203608325531732,-0.016269506925044374,0.11126708224982,0.064063732456474,0.05127835705107931,-0.18244825649484003,0.06259558217195739,0.03764966627316883,-0.09656552864160084,-0.08123543560083038,-0.05588516488434969,-0.019696864873717645,0.03206664753788121,0.0031482207083168567,-0.007383785751939625,0.1135099555943353
med_age,0.0026780136668571996,0.041418215003864306,0.07518150768485068,0.03176848276767625,-0.15783299384259836,1.0,0.044424875966121824,-0.10478709789257956,-0.10438472588531454,-0.06362381020056697,0.026691154136326584,0.1310920056078532,0.06373069938112125,-0.2233363051427051,0.13546351191065728,0.09746601515355376,-0.16653626808946126,0.026360074793761498,0.05034360959906256,-0.1631864881280017,-0.015435131983453244,-0.02516502743102463,-0.236230082396721,0.3780874933445769,0.40097942323328534,-0.17104496647912115,0.17346439518138787,-0.1558623591247807,-0.007756525285851309,-0.22600582297345656
covid_idx,0.1865866859421758,-0.09002904517703265,-0.10847293839960026,-0.08356642370059729,-0.09594324625863684,0.044424875966121824,1.0,-0.5333360425986091,0.8199417625344496,-0.778194576364654,-0.6292423584306011,-0.8121449198261299,-0.8784094250787435,-0.7510627818828524,-0.5592414893504088,-0.6256672125646039,0.05181365247044846,-0.1170869450365791,0.46486774554607324,0.6841693275071975,-0.7191686401165532,0.41920251802226566,0.496354387969013,-0.43260304898980406,-0.20130789315330436,0.650768431126914,-0.6283813467152956,0.7353259822102703,0.5667694284923253,0.4342233237534624
perc_chg_pop,-0.0713081733407561,0.11573939366948843,0.09465826264385123,0.033901522825468274,0.21121057764023132,-0.10478709789257956,-0.5333360425986091,1.0,-0.4259907848958426,0.48709211486516757,0.3758884305093277,0.5179041314813706,0.7010789882875532,0.7650076697124305,0.2749130931353483,0.35214071231564703,-0.00493343677461486,-0.05577089626321944,-0.2283133109776212,-0.40814192039542274,0.36822308804229514,-0.28674622787159876,-0.3200364163241234,0.04253170169548693,0.09504447853031914,-0.35129715119346255,0.421534565145865,-0.344643133884211,-0.33236513345635255,-0.2171764937475761
perc_black_hispanic,0.2213594429182788,-0.10424899038422038,-0.017984327991654354,-0.04317617828859459,-0.10291595991783536,-0.10438472588531454,0.8199417625344496,-0.4259907848958426,1.0,-0.7155934726472607,-0.8115151370977721,-0.8730914385821102,-0.8053894334187911,-0.6731267257511511,-0.5853383358806259,-0.6528342838343762,0.0017989965063849188,-0.22880479240418541,0.713163159056488,0.5708610199429524,-0.8743520272186361,0.5741821064591086,0.7388452203921587,-0.6084081881751896,-0.29047595947178867,0.8300063407547966,-0.8318770151694492,0.8216821963006093,0.7505763893184874,0.5670366557771138
perc_pop_lforce,-0.26925649771658344,0.12573648241062427,0.029963142661111532,0.1143460368699207,0.10928758751160796,-0.06362381020056697,-0.778194576364654,0.48709211486516757,-0.7155934726472607,1.0,0.7222063939672533,0.7707762449035892,0.811791218055184,0.7530550649221881,0.6089821667135632,0.685700959736927,0.1355120420608628,0.1475661262472465,-0.5386368641150371,-0.36463168739498253,0.6913143473354117,-0.47922624005061953,-0.6520547964346076,0.3670393649554949,0.12233616253609444,-0.7125985780730805,0.6578524282636523,-0.7672680572687478,-0.6714508952793795,-0.5066280480015627
perc_emp,-0.28721309477761325,0.08285589185232645,-0.08004834624482443,0.04799238793266017,0.0006486663934519524,0.026691154136326584,-0.6292423584306011,0.3758884305093277,-0.8115151370977721,0.7222063939672533,1.0,0.798805386359496,0.6567341050091232,0.5602217966172109,0.6664065652484256,0.709517637047732,-0.02518246581923616,0.1435762174328321,-0.8779701683791463,-0.22156836451551512,0.8921808356867055,-0.7712770083357695,-0.8162997843357613,0.5951058183480857,0.2755757915523448,-0.910319748760194,0.8300351993602312,-0.7433261641899217,-0.9232122113861594,-0.7112021592472355
med_inc,-0.22423461261084077,0.14193993077158018,0.11980441313169474,0.05486704502430537,0.05796903376857384,0.1310920056078532,-0.8121449198261299,0.5179041314813706,-0.8730914385821102,0.7707762449035892,0.798805386359496,1.0,0.9051956423056299,0.7593710479413168,0.5977669722345657,0.6845303138505207,0.0053757308994127895,0.17297726710149783,-0.6933520180086602,-0.6061072023393791,0.8645702776307583,-0.585011869067343,-0.7573167531918228,0.5843207707241156,0.34073050395038224,-0.8648840707675461,0.8518412754807765,-0.836352831206483,-0.7425995857579412,-0.6004919258659958
inc_p_cap,-0.13674577877456778,0.17001157484194335,0.1740792887671426,0.12490166787680156,0.17236270892532535,0.06373069938112125,-0.8784094250787435,0.7010789882875532,-0.8053894334187911,0.811791218055184,0.6567341050091232,0.9051956423056299,1.0,0.8679213412443456,0.4861429058859229,0.5814244340302083,0.041044318907948844,0.18252664863337625,-0.4704061535793159,-0.6679533480484181,0.706867769051291,-0.3918283205077042,-0.6156246151774339,0.4557144524630553,0.24914693886776293,-0.6887977552186677,0.7138887366340346,-0.7604481150454756,-0.5724630766549786,-0.46220442200546447
med_rent,-0.09596080262247551,0.2699195642061025,0.21185594346051814,0.005690337480008764,0.2177602885912711,-0.2233363051427051,-0.7510627818828524,0.7650076697124305,-0.6731267257511511,0.7530550649221881,0.5602217966172109,0.7593710479413168,0.8679213412443456,1.0,0.3272698784818444,0.4090722653810372,0.05673507367264466,0.23566921669799207,-0.3832250570480182,-0.532820146919052,0.5864761638109758,-0.29486367296155586,-0.49125755822759126,0.1426362823272142,-0.04716825268087165,-0.560913455866778,0.6248980652596914,-0.5368502254820707,-0.4859019575823215,-0.2801688753611652
perc_hh_comp,-0.3838971520378413,-0.10283684811158152,-0.15786468429476178,-0.15159965002782344,-0.10203608325531732,0.13546351191065728,-0.5592414893504088,0.2749130931353483,-0.5853383358806259,0.6089821667135632,0.6664065652484256,0.5977669722345657,0.4861429058859229,0.3272698784818444,1.0,0.9634527736876131,-0.12259766046946097,-0.21159388270737475,-0.5674012331285015,-0.32803112143874114,0.6810998591352092,-0.6891494680874215,-0.5586799537048569,0.564681965945503,0.4079215187963527,-0.6990035105856571,0.5587917933200477,-0.6901950859437976,-0.6992024776643627,-0.668025402706509
perc_hh_internet,-0.3484250230722312,-0.08269832373570378,-0.14340752849225522,-0.06698910692128181,-0.016269506925044374,0.09746601515355376,-0.6256672125646039,0.35214071231564703,-0.6528342838343762,0.685700959736927,0.709517637047732,0.6845303138505207,0.5814244340302083,0.4090722653810372,0.9634527736876131,1.0,-0.11066005444656372,-0.21392102926775589,-0.6510000030037673,-0.37676948641171765,0.7331402530094564,-0.7210985601752594,-0.6574980876984878,0.5908025605910464,0.4542204617780822,-0.7725346831693757,0.6299544267191319,-0.7458323099329298,-0.7646935542059737,-0.7036603673339656
highly_walkable_pop_pct,0.021702970771882258,-0.11676613993561087,-0.11205609139210636,0.11043582500791353,0.11126708224982,-0.16653626808946126,0.05181365247044846,-0.00493343677461486,0.0017989965063849188,0.1355120420608628,-0.02518246581923616,0.0053757308994127895,0.041044318907948844,0.05673507367264466,-0.12259766046946097,-0.11066005444656372,1.0,0.5925685576674211,0.09045544590183571,0.07303123161438971,0.043515226544090437,0.09310263786824252,-0.06029438143774227,-0.2845960553761138,-0.09490725738787475,0.06622636489905304,0.007781969643135832,0.018489392593093634,0.07645759388234734,0.09599771606401522
highly_walkable_emp_pct,0.04828378172663678,0.2606199767850568,0.17359755506137883,0.06803125554769975,0.064063732456474,0.026360074793761498,-0.1170869450365791,-0.05577089626321944,-0.22880479240418541,0.1475661262472465,0.1435762174328321,0.17297726710149783,0.18252664863337625,0.23566921669799207,-0.21159388270737475,-0.21392102926775589,0.5925685576674211,1.0,-0.004720479190781602,-0.03505570683355568,0.12533069665485097,0.2189191559344092,-0.14470285393078983,-0.13763641346647917,-0.33481443351540346,-0.05592777695718964,0.12890947428586008,-0.07283467538345265,0.0007618247720190833,0.1067722606281768
low_bw_rate,0.2817132346811544,-0.056213457524086324,0.10930836583127732,-0.02650214886809824,0.05127835705107931,0.05034360959906256,0.46486774554607324,-0.2283133109776212,0.713163159056488,-0.5386368641150371,-0.8779701683791463,-0.6933520180086602,-0.4704061535793159,-0.3832250570480182,-0.5674012331285015,-0.6510000030037673,0.09045544590183571,-0.004720479190781602,1.0,0.09500062985505267,-0.8517708942387675,0.7986912624935604,0.8084129626995828,-0.5895095157957994,-0.3778866004221379,0.8886974141677195,-0.7768254366102618,0.6010306731788332,0.9420072395992328,0.7711406016567564
uninsured_rate,0.0031820324531538404,0.016087464639654787,-0.15174389980408173,0.02451834663679257,-0.18244825649484003,-0.1631864881280017,0.6841693275071975,-0.40814192039542274,0.5708610199429524,-0.36463168739498253,-0.22156836451551512,-0.6061072023393791,-0.6679533480484181,-0.532820146919052,-0.32803112143874114,-0.37676948641171765,0.07303123161438971,-0.03505570683355568,0.09500062985505267,1.0,-0.4382301998309775,0.1537303776040894,0.22345316428682638,-0.3557061644557581,-0.20520101991037884,0.3581562579645714,-0.3835243263818242,0.45124715192627546,0.14659154175138114,0.11230128779946678
adq_child_care,-0.23208420855889078,0.08433259322951735,-0.012110424942185331,0.014926077809387327,0.06259558217195739,-0.015435131983453244,-0.7191686401165532,0.36822308804229514,-0.8743520272186361,0.6913143473354117,0.8921808356867055,0.8645702776307583,0.706867769051291,0.5864761638109758,0.6810998591352092,0.7331402530094564,0.043515226544090437,0.12533069665485097,-0.8517708942387675,-0.4382301998309775,1.0,-0.7955394791869813,-0.7753827591561486,0.6453209248861551,0.3497503226545018,-0.9093694484145107,0.8590904279157596,-0.7675040208022409,-0.8805044397113798,-0.6791573151510002
perc_vacant_units,0.2694115128170376,0.08173821528254892,0.19445981474108073,0.048225514478953714,0.03764966627316883,-0.02516502743102463,0.41920251802226566,-0.28674622787159876,0.5741821064591086,-0.47922624005061953,-0.7712770083357695,-0.585011869067343,-0.3918283205077042,-0.29486367296155586,-0.6891494680874215,-0.7210985601752594,0.09310263786824252,0.2189191559344092,0.7986912624935604,0.1537303776040894,-0.7955394791869813,1.0,0.6372105740981454,-0.5643249486007736,-0.426861028450651,0.7679836334217941,-0.6454071837406751,0.5109654605131577,0.8177428890277488,0.6455983681082136
perc_sing_par_hh,0.0927432565803667,-0.18136921023356747,-0.058572704023047886,-0.1391250410015452,-0.09656552864160084,-0.236230082396721,0.496354387969013,-0.3200364163241234,0.7388452203921587,-0.6520547964346076,-0.8162997843357613,-0.7573167531918228,-0.6156246151774339,-0.49125755822759126,-0.5586799537048569,-0.6574980876984878,-0.06029438143774227,-0.14470285393078983,0.8084129626995828,0.22345316428682638,-0.7753827591561486,0.6372105740981454,1.0,-0.5282054048900786,-0.4022272220264424,0.8978436468402796,-0.8334896608322842,0.6415564325757964,0.8651907126200212,0.8123376883712393
comm_belong_16_18,-0.22210157993344842,-0.053838275998453186,-0.13911380139684143,0.03147277389069188,-0.08123543560083038,0.3780874933445769,-0.43260304898980406,0.04253170169548693,-0.6084081881751896,0.3670393649554949,0.5951058183480857,0.5843207707241156,0.4557144524630553,0.1426362823272142,0.564681965945503,0.5908025605910464,-0.2845960553761138,-0.13763641346647917,-0.5895095157957994,-0.3557061644557581,0.6453209248861551,-0.5643249486007736,-0.5282054048900786,1.0,0.4880670042645222,-0.6539258703853054,0.5795246976672556,-0.6441518291983226,-0.5847892609845945,-0.5605294005253353
comm_belong_20_21,-0.15824564347183376,-0.13663365134709904,-0.10863120057710926,-0.045881554661459566,-0.05588516488434969,0.40097942323328534,-0.20130789315330436,0.09504447853031914,-0.29047595947178867,0.12233616253609444,0.2755757915523448,0.34073050395038224,0.24914693886776293,-0.04716825268087165,0.4079215187963527,0.4542204617780822,-0.09490725738787475,-0.33481443351540346,-0.3778866004221379,-0.20520101991037884,0.3497503226545018,-0.426861028450651,-0.4022272220264424,0.4880670042645222,1.0,-0.4044553213318528,0.2880635628118581,-0.3471576458676256,-0.37860335889552815,-0.5169375749607105
perc_hh_stamps,0.24703216705871522,-0.10334372285044918,0.005787621682135907,-0.004055661232393075,-0.019696864873717645,-0.17104496647912115,0.650768431126914,-0.35129715119346255,0.8300063407547966,-0.7125985780730805,-0.910319748760194,-0.8648840707675461,-0.6887977552186677,-0.560913455866778,-0.6990035105856571,-0.7725346831693757,0.06622636489905304,-0.05592777695718964,0.8886974141677195,0.3581562579645714,-0.9093694484145107,0.7679836334217941,0.8978436468402796,-0.6539258703853054,-0.4044553213318528,1.0,-0.9086200814967913,0.7692296152129539,0.9353986332539835,0.8095130767613327
perc_not_getting_stamps,-0.1954835624031586,0.1319637662125826,0.024039385359837687,0.04928742038584312,0.03206664753788121,0.17346439518138787,-0.6283813467152956,0.421534565145865,-0.8318770151694492,0.6578524282636523,0.8300351993602312,0.8518412754807765,0.7138887366340346,0.6248980652596914,0.5587917933200477,0.6299544267191319,0.007781969643135832,0.12890947428586008,-0.7768254366102618,-0.3835243263818242,0.8590904279157596,-0.6454071837406751,-0.8334896608322842,0.5795246976672556,0.2880635628118581,-0.9086200814967913,1.0,-0.713347634507779,-0.8084760516943058,-0.709677218966382
rent_burdened_hh,0.3306121158842031,-0.044834293824558835,0.041903311536540394,0.07477373393128735,0.0031482207083168567,-0.1558623591247807,0.7353259822102703,-0.344643133884211,0.8216821963006093,-0.7672680572687478,-0.7433261641899217,-0.836352831206483,-0.7604481150454756,-0.5368502254820707,-0.6901950859437976,-0.7458323099329298,0.018489392593093634,-0.07283467538345265,0.6010306731788332,0.45124715192627546,-0.7675040208022409,0.5109654605131577,0.6415564325757964,-0.6441518291983226,-0.3471576458676256,0.7692296152129539,-0.713347634507779,1.0,0.6895286825008262,0.5594492498745414
homicide_rate,0.24323256167962112,-0.1016143076417323,0.07718827265163146,-0.03592359962036604,-0.007383785751939625,-0.007756525285851309,0.5667694284923253,-0.33236513345635255,0.7505763893184874,-0.6714508952793795,-0.9232122113861594,-0.7425995857579412,-0.5724630766549786,-0.4859019575823215,-0.6992024776643627,-0.7646935542059737,0.07645759388234734,0.0007618247720190833,0.9420072395992328,0.14659154175138114,-0.8805044397113798,0.8177428890277488,0.8651907126200212,-0.5847892609845945,-0.37860335889552815,0.9353986332539835,-0.8084760516943058,0.6895286825008262,1.0,0.8334606178997606
drug_induced_dt_rate,0.23033235197048374,-0.06563689902834305,0.052480888533498894,-0.10283326268454475,0.1135099555943353,-0.22600582297345656,0.4342233237534624,-0.2171764937475761,0.5670366557771138,-0.5066280480015627,-0.7112021592472355,-0.6004919258659958,-0.46220442200546447,-0.2801688753611652,-0.668025402706509,-0.7036603673339656,0.09599771606401522,0.1067722606281768,0.7711406016567564,0.11230128779946678,-0.6791573151510002,0.6455983681082136,0.8123376883712393,-0.5605294005253353,-0.5169375749607105,0.8095130767613327,-0.709677218966382,0.5594492498745414,0.8334606178997606,1.0
