,School_ID,Wards,crime_capita,Year,Attendance
21,609715,1,0.0975272727272727,2013,90.725
23,610357,1,0.0975272727272727,2013,90.3
26,400135,1,0.0975272727272727,2013,74.975
39,609715,1,0.0846545454545454,2014,92.5
41,610357,1,0.0846545454545454,2014,89.65
44,400135,1,0.0846545454545454,2014,78.73333333333333
57,609715,1,0.0828545454545454,2015,91.55
59,610357,1,0.0828545454545454,2015,85.875
62,400135,1,0.0828545454545454,2015,78.06666666666666
75,609715,1,0.0956363636363636,2016,90.35
77,610357,1,0.0956363636363636,2016,90.1
80,400135,1,0.0956363636363636,2016,69.53333333333333
93,609715,1,0.0977090909090909,2017,89.025
95,610357,1,0.0977090909090909,2017,85.85
98,400135,1,0.0977090909090909,2017,57.975
111,609715,1,0.0880181818181818,2018,90.7
113,610357,1,0.0880181818181818,2018,88.675
116,400135,1,0.0880181818181818,2018,65.425
129,609715,1,0.0876,2019,89.375
131,610357,1,0.0876,2019,82.975
134,400135,1,0.0876,2019,67.56666666666666
165,609715,1,0.0611818181818181,2021,77.8
167,610357,1,0.0611818181818181,2021,60.15
170,400135,1,0.0611818181818181,2021,56.03333333333333
183,609715,1,0.0803818181818181,2022,78.5
185,610357,1,0.0803818181818181,2022,64.575
188,400135,1,0.0803818181818181,2022,63.46666666666667
256,610570,2,0.1941636363636363,2015,52.75
271,610570,2,0.2064,2016,55.2
286,610570,2,0.2083272727272727,2017,56.125
301,610570,2,0.1834,2018,58.650000000000006
316,610570,2,0.0958909090909091,2019,54.975
346,610570,2,0.0634909090909091,2021,51.0
361,610570,2,0.0683090909090909,2022,38.125
382,610391,3,0.1516727272727272,2013,91.975
384,609709,3,0.1516727272727272,2013,77.32499999999999
388,609711,3,0.1516727272727272,2013,78.44999999999999
395,610563,3,0.1327454545454545,2014,95.8
396,610391,3,0.1327454545454545,2014,92.55
398,609709,3,0.1327454545454545,2014,79.65
402,609711,3,0.1327454545454545,2014,84.05
409,610563,3,0.1217818181818181,2015,96.6
410,610391,3,0.1217818181818181,2015,92.25
412,609709,3,0.1217818181818181,2015,85.1
416,609711,3,0.1217818181818181,2015,85.8
421,400167,3,0.1281090909090909,2016,98.4
423,610563,3,0.1281090909090909,2016,95.96666666666664
424,610391,3,0.1281090909090909,2016,92.15
426,609709,3,0.1281090909090909,2016,90.525
430,609711,3,0.1281090909090909,2016,85.80000000000001
435,400167,3,0.1290181818181818,2017,92.5
437,610563,3,0.1290181818181818,2017,94.0
438,610391,3,0.1290181818181818,2017,90.6
440,609709,3,0.1290181818181818,2017,91.6
444,609711,3,0.1290181818181818,2017,81.075
449,400167,3,0.1275636363636363,2018,94.06666666666666
451,610563,3,0.1275636363636363,2018,93.25
452,610391,3,0.1275636363636363,2018,90.725
454,609709,3,0.1275636363636363,2018,90.625
458,609711,3,0.1275636363636363,2018,84.7
463,400167,3,0.1346363636363636,2019,93.925
465,610563,3,0.1346363636363636,2019,91.35
466,610391,3,0.1346363636363636,2019,90.5
468,609709,3,0.1346363636363636,2019,88.6
472,609711,3,0.1346363636363636,2019,85.0
491,400167,3,0.112490909090909,2021,94.6
493,610563,3,0.112490909090909,2021,86.9
494,610391,3,0.112490909090909,2021,86.35
496,609709,3,0.112490909090909,2021,73.3
500,609711,3,0.112490909090909,2021,88.0
505,400167,3,0.1347636363636363,2022,92.5
507,610563,3,0.1347636363636363,2022,84.35
508,610391,3,0.1347636363636363,2022,86.9
510,609709,3,0.1347636363636363,2022,82.075
538,609682,4,0.0893818181818181,2013,79.65
544,400086,4,0.0893818181818181,2013,94.475
548,400077,4,0.0893818181818181,2013,96.025
553,400129,4,0.0893818181818181,2013,79.63333333333334
556,610386,4,0.0893818181818181,2013,87.26666666666667
557,400106,4,0.0893818181818181,2013,91.66666666666669
559,609682,4,0.0838545454545454,2014,84.025
565,400086,4,0.0838545454545454,2014,94.2
569,400077,4,0.0838545454545454,2014,95.8
574,400129,4,0.0838545454545454,2014,74.56666666666666
577,610386,4,0.0838545454545454,2014,87.26666666666667
578,400106,4,0.0838545454545454,2014,93.625
580,609682,4,0.0838181818181818,2015,84.425
586,400086,4,0.0838181818181818,2015,94.5
590,400077,4,0.0838181818181818,2015,95.55
595,400129,4,0.0838181818181818,2015,75.53333333333333
598,610386,4,0.0838181818181818,2015,86.2
599,400106,4,0.0838181818181818,2015,92.475
601,609682,4,0.0918,2016,77.6
607,400086,4,0.0918,2016,92.25
611,400077,4,0.0918,2016,92.925
616,400129,4,0.0918,2016,62.4
619,610386,4,0.0918,2016,86.56666666666666
620,400106,4,0.0918,2016,91.225
622,609682,4,0.094290909090909,2017,76.675
628,400086,4,0.094290909090909,2017,91.375
631,400029,4,0.094290909090909,2017,76.9
632,400077,4,0.094290909090909,2017,92.85
637,400129,4,0.094290909090909,2017,54.925
640,610386,4,0.094290909090909,2017,82.25
641,400106,4,0.094290909090909,2017,88.15
643,609682,4,0.1014,2018,77.6
649,400086,4,0.1014,2018,90.425
653,400077,4,0.1014,2018,93.375
658,400129,4,0.1014,2018,59.0
661,610386,4,0.1014,2018,84.925
662,400106,4,0.1014,2018,86.675
664,609682,4,0.1268181818181818,2019,78.575
670,400086,4,0.1268181818181818,2019,93.625
674,400077,4,0.1268181818181818,2019,92.55
679,400129,4,0.1268181818181818,2019,60.53333333333333
682,610386,4,0.1268181818181818,2019,85.39999999999999
683,400106,4,0.1268181818181818,2019,88.35
706,609682,4,0.103290909090909,2021,66.925
712,400086,4,0.103290909090909,2021,79.95
716,400077,4,0.103290909090909,2021,85.625
721,400129,4,0.103290909090909,2021,72.46666666666667
724,610386,4,0.103290909090909,2021,74.03333333333335
725,400106,4,0.103290909090909,2021,63.15
727,609682,4,0.1417090909090909,2022,74.7
733,400086,4,0.1417090909090909,2022,89.9
737,400077,4,0.1417090909090909,2022,82.975
742,400129,4,0.1417090909090909,2022,63.5
745,610386,4,0.1417090909090909,2022,78.10000000000001
746,400106,4,0.1417090909090909,2022,76.5
760,609733,5,0.1404545454545454,2013,80.6
762,400035,5,0.1404545454545454,2013,94.375
767,400121,5,0.1182,2014,93.0
768,609733,5,0.1182,2014,85.225
770,400035,5,0.1182,2014,95.95
775,400121,5,0.1151272727272727,2015,94.7
776,609733,5,0.1151272727272727,2015,89.375
778,400035,5,0.1151272727272727,2015,96.425
783,400121,5,0.1092,2016,94.36666666666667
784,609733,5,0.1092,2016,86.775
786,400035,5,0.1092,2016,95.95
791,400121,5,0.1131090909090909,2017,93.625
792,609733,5,0.1131090909090909,2017,86.17500000000001
794,400035,5,0.1131090909090909,2017,94.9
799,400121,5,0.1152727272727272,2018,93.825
800,609733,5,0.1152727272727272,2018,83.95
802,400035,5,0.1152727272727272,2018,95.575
807,400121,5,0.1077272727272727,2019,92.0
808,609733,5,0.1077272727272727,2019,85.35
810,400035,5,0.1077272727272727,2019,94.8
823,400121,5,0.0963818181818181,2021,85.9
824,609733,5,0.0963818181818181,2021,74.6
826,400035,5,0.0963818181818181,2021,96.75
831,400121,5,0.1116,2022,82.375
832,609733,5,0.1116,2022,77.8
834,400035,5,0.1116,2022,92.175
850,609741,6,0.1907636363636363,2013,90.95
859,609741,6,0.1602181818181818,2014,91.675
868,609741,6,0.1626181818181818,2015,91.875
877,609741,6,0.1582909090909091,2016,91.5
886,609741,6,0.1563454545454545,2017,89.825
888,400179,6,0.1563454545454545,2017,91.7
895,609741,6,0.1614909090909091,2018,90.175
897,400179,6,0.1614909090909091,2018,95.25
904,609741,6,0.1776727272727272,2019,90.05
906,400179,6,0.1776727272727272,2019,94.9
922,609741,6,0.1460909090909091,2021,87.95
924,400179,6,0.1460909090909091,2021,81.475
931,609741,6,0.1551090909090909,2022,80.45
933,400179,6,0.1551090909090909,2022,86.425
954,610245,7,0.1497454545454545,2013,79.05
958,610244,7,0.1497454545454545,2013,89.85
968,610245,7,0.1420727272727272,2014,76.1
972,610244,7,0.1420727272727272,2014,91.125
982,610245,7,0.1380363636363636,2015,78.82499999999999
986,610244,7,0.1380363636363636,2015,90.7
996,610245,7,0.1254181818181818,2016,79.0
1000,610244,7,0.1254181818181818,2016,92.3
1010,610245,7,0.1250545454545454,2017,79.85
1014,610244,7,0.1250545454545454,2017,92.825
1024,610245,7,0.1265272727272727,2018,80.7
1028,610244,7,0.1265272727272727,2018,91.325
1038,610245,7,0.1372545454545454,2019,82.375
1042,610244,7,0.1372545454545454,2019,89.775
1066,610245,7,0.1158545454545454,2021,55.575
1070,610244,7,0.1158545454545454,2021,71.25
1080,610245,7,0.1369454545454545,2022,77.89999999999999
1084,610244,7,0.1369454545454545,2022,70.925
1112,400085,8,0.1574363636363636,2013,97.075
1113,609756,8,0.1574363636363636,2013,87.925
1118,610543,8,0.1574363636363636,2013,91.7
1132,400085,8,0.1451272727272727,2014,95.025
1133,609756,8,0.1451272727272727,2014,89.8
1138,610543,8,0.1451272727272727,2014,93.175
1142,400149,8,0.1451272727272727,2014,95.6
1152,400085,8,0.1312,2015,93.4
1153,609756,8,0.1312,2015,87.525
1154,400173,8,0.1312,2015,87.475
1158,610543,8,0.1312,2015,93.725
1162,400149,8,0.1312,2015,95.7
1172,400085,8,0.1306727272727272,2016,93.4
1173,609756,8,0.1306727272727272,2016,87.95
1174,400173,8,0.1306727272727272,2016,45.35
1178,610543,8,0.1306727272727272,2016,94.45
1182,400149,8,0.1306727272727272,2016,94.23333333333332
1192,400085,8,0.1282545454545454,2017,94.6
1193,609756,8,0.1282545454545454,2017,87.825
1194,400173,8,0.1282545454545454,2017,43.575
1198,610543,8,0.1282545454545454,2017,94.1
1202,400149,8,0.1282545454545454,2017,90.05
1212,400085,8,0.1299454545454545,2018,93.25
1213,609756,8,0.1299454545454545,2018,88.275
1214,400173,8,0.1299454545454545,2018,68.75
1218,610543,8,0.1299454545454545,2018,93.975
1222,400149,8,0.1299454545454545,2018,87.525
1232,400085,8,0.1483636363636363,2019,90.55
1233,609756,8,0.1483636363636363,2019,86.825
1234,400173,8,0.1483636363636363,2019,75.8
1238,610543,8,0.1483636363636363,2019,94.1
1242,400149,8,0.1483636363636363,2019,87.975
1272,400085,8,0.1284727272727272,2021,81.85
1273,609756,8,0.1284727272727272,2021,82.875
1274,400173,8,0.1284727272727272,2021,73.47500000000001
1278,610543,8,0.1284727272727272,2021,83.625
1282,400149,8,0.1284727272727272,2021,86.025
1292,400085,8,0.1341272727272727,2022,81.0
1293,609756,8,0.1341272727272727,2022,78.425
1294,400173,8,0.1341272727272727,2022,57.275
1298,610543,8,0.1341272727272727,2022,87.575
1302,400149,8,0.1341272727272727,2022,82.375
1333,400064,9,0.142490909090909,2013,98.4
1334,610380,9,0.142490909090909,2013,89.325
1335,609769,9,0.142490909090909,2013,88.975
1338,610381,9,0.142490909090909,2013,88.05
1339,609727,9,0.142490909090909,2013,78.175
1341,400066,9,0.142490909090909,2013,97.35
1344,400124,9,0.142490909090909,2013,75.86666666666666
1345,609754,9,0.142490909090909,2013,89.75
1346,400145,9,0.142490909090909,2013,72.66666666666667
1353,400064,9,0.1312363636363636,2014,96.825
1354,610380,9,0.1312363636363636,2014,88.525
1355,609769,9,0.1312363636363636,2014,88.65
1358,610381,9,0.1312363636363636,2014,86.32499999999999
1359,609727,9,0.1312363636363636,2014,83.0
1361,400066,9,0.1312363636363636,2014,92.925
1364,400124,9,0.1312363636363636,2014,79.06666666666666
1365,609754,9,0.1312363636363636,2014,89.525
1366,400145,9,0.1312363636363636,2014,59.875
1373,400064,9,0.1198727272727272,2015,95.55
1374,610380,9,0.1198727272727272,2015,90.0
1375,609769,9,0.1198727272727272,2015,87.525
1378,610381,9,0.1198727272727272,2015,87.75
1379,609727,9,0.1198727272727272,2015,75.775
1381,400066,9,0.1198727272727272,2015,92.225
1384,400124,9,0.1198727272727272,2015,79.26666666666667
1385,609754,9,0.1198727272727272,2015,89.15
1386,400145,9,0.1198727272727272,2015,66.3
1393,400064,9,0.1252545454545454,2016,94.325
1394,610380,9,0.1252545454545454,2016,88.475
1395,609769,9,0.1252545454545454,2016,89.23333333333333
1398,610381,9,0.1252545454545454,2016,87.4
1399,609727,9,0.1252545454545454,2016,81.2
1401,400066,9,0.1252545454545454,2016,92.2
1404,400124,9,0.1252545454545454,2016,73.0
1405,609754,9,0.1252545454545454,2016,93.125
1406,400145,9,0.1252545454545454,2016,64.0
1413,400064,9,0.1275090909090909,2017,92.425
1414,610380,9,0.1275090909090909,2017,86.9
1415,609769,9,0.1275090909090909,2017,81.0
1418,610381,9,0.1275090909090909,2017,88.9
1419,609727,9,0.1275090909090909,2017,80.25
1421,400066,9,0.1275090909090909,2017,89.25
1424,400124,9,0.1275090909090909,2017,61.025000000000006
1425,609754,9,0.1275090909090909,2017,91.65
1426,400145,9,0.1275090909090909,2017,62.875
1433,400064,9,0.1339636363636363,2018,92.75
1434,610380,9,0.1339636363636363,2018,86.425
1435,609769,9,0.1339636363636363,2018,76.35
1438,610381,9,0.1339636363636363,2018,82.6
1439,609727,9,0.1339636363636363,2018,83.225
1441,400066,9,0.1339636363636363,2018,89.9
1444,400124,9,0.1339636363636363,2018,59.35
1445,609754,9,0.1339636363636363,2018,92.05
1446,400145,9,0.1339636363636363,2018,62.45
1453,400064,9,0.1434,2019,93.65
1454,610380,9,0.1434,2019,84.35
1455,609769,9,0.1434,2019,87.3
1458,610381,9,0.1434,2019,84.65
1459,609727,9,0.1434,2019,81.4
1461,400066,9,0.1434,2019,89.2
1464,400124,9,0.1434,2019,65.26666666666667
1465,609754,9,0.1434,2019,89.675
1466,400145,9,0.1434,2019,56.9
1493,400064,9,0.1165818181818181,2021,78.325
1494,610380,9,0.1165818181818181,2021,79.925
1495,609769,9,0.1165818181818181,2021,82.5
1498,610381,9,0.1165818181818181,2021,84.075
1499,609727,9,0.1165818181818181,2021,58.575
1501,400066,9,0.1165818181818181,2021,70.5
1504,400124,9,0.1165818181818181,2021,71.3
1505,609754,9,0.1165818181818181,2021,84.0
1506,400145,9,0.1165818181818181,2021,35.06666666666667
1513,400064,9,0.1226,2022,80.07499999999999
1514,610380,9,0.1226,2022,82.125
1515,609769,9,0.1226,2022,81.0
1518,610381,9,0.1226,2022,84.925
1519,609727,9,0.1226,2022,61.075
1521,400066,9,0.1226,2022,76.7
1524,400124,9,0.1226,2022,68.5
1525,609754,9,0.1226,2022,81.0
1526,400145,9,0.1226,2022,58.96666666666667
1549,609676,10,0.0995636363636363,2013,82.125
1555,400137,10,0.0995636363636363,2013,78.0
1556,400105,10,0.0995636363636363,2013,96.33333333333331
1557,609751,10,0.0995636363636363,2013,89.15
1559,609678,10,0.0995636363636363,2013,93.625
1561,609746,10,0.0995636363636363,2013,88.05
1566,609676,10,0.0918181818181818,2014,89.25
1572,400137,10,0.0918181818181818,2014,69.225
1573,400105,10,0.0918181818181818,2014,92.925
1574,609751,10,0.0918181818181818,2014,92.05
1576,609678,10,0.0918181818181818,2014,93.325
1578,609746,10,0.0918181818181818,2014,90.625
1583,609676,10,0.0849818181818181,2015,80.8
1589,400137,10,0.0849818181818181,2015,81.5
1590,400105,10,0.0849818181818181,2015,90.475
1591,609751,10,0.0849818181818181,2015,93.025
1593,609678,10,0.0849818181818181,2015,92.875
1595,609746,10,0.0849818181818181,2015,90.8
1600,609676,10,0.0825454545454545,2016,85.375
1606,400137,10,0.0825454545454545,2016,67.025
1607,400105,10,0.0825454545454545,2016,91.175
1608,609751,10,0.0825454545454545,2016,92.95
1610,609678,10,0.0825454545454545,2016,92.725
1612,609746,10,0.0825454545454545,2016,92.425
1617,609676,10,0.0803636363636363,2017,84.5
1618,610587,10,0.0803636363636363,2017,92.5
1623,400137,10,0.0803636363636363,2017,77.0
1624,400105,10,0.0803636363636363,2017,91.875
1625,609751,10,0.0803636363636363,2017,91.3
1627,609678,10,0.0803636363636363,2017,92.4
1629,609746,10,0.0803636363636363,2017,92.175
1634,609676,10,0.0747636363636363,2018,85.125
1635,610587,10,0.0747636363636363,2018,92.0
1640,400137,10,0.0747636363636363,2018,80.3
1641,400105,10,0.0747636363636363,2018,92.075
1642,609751,10,0.0747636363636363,2018,90.0
1644,609678,10,0.0747636363636363,2018,93.15
1646,609746,10,0.0747636363636363,2018,92.775
1651,609676,10,0.0679454545454545,2019,85.025
1652,610587,10,0.0679454545454545,2019,92.06666666666668
1657,400137,10,0.0679454545454545,2019,77.275
1658,400105,10,0.0679454545454545,2019,93.4
1659,609751,10,0.0679454545454545,2019,87.975
1661,609678,10,0.0679454545454545,2019,91.25
1663,609746,10,0.0679454545454545,2019,91.95
1685,609676,10,0.0656727272727272,2021,65.75
1686,610587,10,0.0656727272727272,2021,79.05
1691,400137,10,0.0656727272727272,2021,91.4
1692,400105,10,0.0656727272727272,2021,90.625
1693,609751,10,0.0656727272727272,2021,92.225
1695,609678,10,0.0656727272727272,2021,91.45
1697,609746,10,0.0656727272727272,2021,88.5
1702,609676,10,0.0725090909090909,2022,71.775
1703,610587,10,0.0725090909090909,2022,83.75
1708,400137,10,0.0725090909090909,2022,74.4
1709,400105,10,0.0725090909090909,2022,91.85
1710,609751,10,0.0725090909090909,2022,88.65
1712,609678,10,0.0725090909090909,2022,88.825
1714,609746,10,0.0725090909090909,2022,89.625
1724,400051,11,0.0755090909090909,2013,95.4
1729,400051,11,0.0673090909090909,2014,95.375
1734,400051,11,0.0627272727272727,2015,94.6
1739,400051,11,0.0635272727272727,2016,94.45
1744,400051,11,0.061090909090909,2017,94.125
1749,400051,11,0.0592181818181818,2018,94.175
1754,400051,11,0.0565090909090909,2019,94.725
1764,400051,11,0.0474181818181818,2021,67.425
1769,400051,11,0.0578727272727272,2022,86.775
1786,400054,12,0.0651090909090909,2013,94.975
1795,400054,12,0.0665636363636363,2014,95.65
1804,400054,12,0.0604727272727272,2015,95.725
1813,400054,12,0.0621818181818181,2016,95.15
1822,400054,12,0.0580727272727272,2017,94.85
1831,400054,12,0.0571272727272727,2018,94.575
1840,400054,12,0.0586,2019,94.725
1858,400054,12,0.0465818181818181,2021,85.075
1867,400054,12,0.0536545454545454,2022,88.5
1893,609692,13,0.0695272727272727,2013,83.45
1895,400117,13,0.0695272727272727,2013,92.1
1896,400062,13,0.0695272727272727,2013,99.0
1897,400033,13,0.0695272727272727,2013,85.8
1902,400061,13,0.0695272727272727,2013,97.075
1911,609692,13,0.0636,2014,86.975
1913,400117,13,0.0636,2014,91.55
1914,400062,13,0.0636,2014,93.45
1915,400033,13,0.0636,2014,90.35
1920,400061,13,0.0636,2014,93.95
1929,609692,13,0.0616363636363636,2015,89.975
1931,400117,13,0.0616363636363636,2015,92.23333333333332
1932,400062,13,0.0616363636363636,2015,94.45
1933,400033,13,0.0616363636363636,2015,91.275
1938,400061,13,0.0616363636363636,2015,94.35
1947,609692,13,0.0658545454545454,2016,90.625
1949,400117,13,0.0658545454545454,2016,91.85
1950,400062,13,0.0658545454545454,2016,92.125
1951,400033,13,0.0658545454545454,2016,90.25
1956,400061,13,0.0658545454545454,2016,91.9
1965,609692,13,0.0584727272727272,2017,89.35
1967,400117,13,0.0584727272727272,2017,90.35
1968,400062,13,0.0584727272727272,2017,91.45
1969,400033,13,0.0584727272727272,2017,87.95
1974,400061,13,0.0584727272727272,2017,90.475
1983,609692,13,0.0536363636363636,2018,88.75
1985,400117,13,0.0536363636363636,2018,91.275
1986,400062,13,0.0536363636363636,2018,90.775
1987,400033,13,0.0536363636363636,2018,88.975
1992,400061,13,0.0536363636363636,2018,90.8
2001,609692,13,0.0412545454545454,2019,85.575
2003,400117,13,0.0412545454545454,2019,92.8
2004,400062,13,0.0412545454545454,2019,91.475
2005,400033,13,0.0412545454545454,2019,87.7
2010,400061,13,0.0412545454545454,2019,92.175
2037,609692,13,0.0350545454545454,2021,82.825
2039,400117,13,0.0350545454545454,2021,74.225
2040,400062,13,0.0350545454545454,2021,79.35
2041,400033,13,0.0350545454545454,2021,81.2
2046,400061,13,0.0350545454545454,2021,82.05
2055,609692,13,0.0418363636363636,2022,76.975
2057,400117,13,0.0418363636363636,2022,83.575
2058,400062,13,0.0418363636363636,2022,79.825
2059,400033,13,0.0418363636363636,2022,77.6
2064,400061,13,0.0418363636363636,2022,80.94999999999999
2094,400058,14,0.0769090909090909,2013,97.4
2096,400118,14,0.0769090909090909,2013,91.3
2097,609748,14,0.0769090909090909,2013,96.35
2100,400059,14,0.0769090909090909,2013,93.75
2106,400128,14,0.0769090909090909,2013,82.60000000000001
2111,610499,14,0.0769090909090909,2013,78.575
2117,400058,14,0.0711272727272727,2014,92.65
2119,400118,14,0.0711272727272727,2014,90.85
2120,609748,14,0.0711272727272727,2014,94.225
2123,400059,14,0.0711272727272727,2014,90.975
2129,400128,14,0.0711272727272727,2014,69.4
2134,610499,14,0.0711272727272727,2014,79.025
2140,400058,14,0.0688,2015,97.0
2142,400118,14,0.0688,2015,91.2
2143,609748,14,0.0688,2015,86.625
2146,400059,14,0.0688,2015,91.075
2152,400128,14,0.0688,2015,62.5
2157,610499,14,0.0688,2015,78.8
2163,400058,14,0.0652,2016,95.95
2165,400118,14,0.0652,2016,90.725
2166,609748,14,0.0652,2016,92.45
2169,400059,14,0.0652,2016,91.575
2175,400128,14,0.0652,2016,60.53333333333333
2180,610499,14,0.0652,2016,80.65
2186,400058,14,0.0597272727272727,2017,93.2
2188,400118,14,0.0597272727272727,2017,88.875
2189,609748,14,0.0597272727272727,2017,96.975
2192,400059,14,0.0597272727272727,2017,90.2
2198,400128,14,0.0597272727272727,2017,59.55
2203,610499,14,0.0597272727272727,2017,83.075
2209,400058,14,0.0561090909090909,2018,95.9
2211,400118,14,0.0561090909090909,2018,87.3
2212,609748,14,0.0561090909090909,2018,71.05
2215,400059,14,0.0561090909090909,2018,92.05
2221,400128,14,0.0561090909090909,2018,56.925
2226,610499,14,0.0561090909090909,2018,85.75
2232,400058,14,0.0537818181818181,2019,92.4
2234,400118,14,0.0537818181818181,2019,87.375
2235,609748,14,0.0537818181818181,2019,73.825
2238,400059,14,0.0537818181818181,2019,96.325
2244,400128,14,0.0537818181818181,2019,51.7
2249,610499,14,0.0537818181818181,2019,81.975
2278,400058,14,0.0434181818181818,2021,79.525
2280,400118,14,0.0434181818181818,2021,50.125
2281,609748,14,0.0434181818181818,2021,62.975
2284,400059,14,0.0434181818181818,2021,77.85
2290,400128,14,0.0434181818181818,2021,51.06666666666666
2295,610499,14,0.0434181818181818,2021,65.975
2301,400058,14,0.0567818181818181,2022,78.5
2303,400118,14,0.0567818181818181,2022,71.65
2304,609748,14,0.0567818181818181,2022,61.475
2307,400059,14,0.0567818181818181,2022,71.775
2313,400128,14,0.0567818181818181,2022,50.63333333333333
2318,610499,14,0.0567818181818181,2022,75.95
2337,609718,15,0.1513818181818181,2013,87.1
2340,609694,15,0.1513818181818181,2013,88.375
2347,609718,15,0.1258545454545454,2014,88.25
2350,609694,15,0.1258545454545454,2014,88.425
2357,609718,15,0.1242363636363636,2015,88.475
2360,609694,15,0.1242363636363636,2015,90.25
2367,609718,15,0.1123636363636363,2016,89.7
2370,609694,15,0.1123636363636363,2016,90.675
2377,609718,15,0.1137818181818181,2017,87.675
2380,609694,15,0.1137818181818181,2017,92.425
2387,609718,15,0.1041272727272727,2018,88.975
2390,609694,15,0.1041272727272727,2018,91.775
2397,609718,15,0.0694181818181818,2019,89.325
2400,609694,15,0.0694181818181818,2019,91.275
2417,609718,15,0.0542545454545454,2021,82.3
2420,609694,15,0.0542545454545454,2021,93.575
2427,609718,15,0.0583272727272727,2022,80.1
2430,609694,15,0.0583272727272727,2022,91.525
2439,609730,16,0.1573090909090909,2013,90.575
2444,609730,16,0.1378181818181818,2014,91.35
2449,609730,16,0.1292545454545454,2015,92.0
2454,609730,16,0.1244545454545454,2016,90.25
2459,609730,16,0.1177090909090909,2017,88.025
2464,609730,16,0.1242363636363636,2018,90.175
2469,609730,16,0.1447454545454545,2019,89.6
2479,609730,16,0.1116545454545454,2021,88.0
2484,609730,16,0.1064909090909091,2022,82.925
2491,609716,17,0.1881818181818181,2013,78.35
2495,609708,17,0.1881818181818181,2013,85.225
2496,609716,17,0.1724,2014,76.35000000000001
