,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of Unique Students Receiving ISS,# of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
38,610513,AIR FORCE HS,Military,2013-2014,EOY,67.5,22.0,83.0,3.9
40,610513,AIR FORCE HS,Service Leadership Academies,2014-2015,EOY,12.6,36.0,59.0,1.4
42,610513,AIR FORCE HS,Service Leadership Academies,2015-2016,EOY,23.2,30.0,34.0,6.1
44,610513,AIR FORCE HS,Network 6,2016-2017,EOY,56.4,19.0,35.0,3.4
46,610513,AIR FORCE HS,Network 6,2017-2018,EOY,61.7,32.0,12.0,7.4
48,610513,AIR FORCE HS,Network 16,2018-2019,EOY,45.2,11.0,7.0,7.1
50,610513,AIR FORCE HS,Network 16,2019-2020,EOY,16.3,6.0,1.0,0.0
52,610513,AIR FORCE HS,Network 16,2021-2022,EOY,23.6,9.0,2.0,0.0
85,610524,ALCOTT HS,Network 4,2013-2014,EOY,74.1,19.0,28.0,1.2
87,610524,ALCOTT HS,Network 4,2014-2015,EOY,105.9,17.0,16.0,0.0
89,610524,ALCOTT HS,Network 4,2015-2016,EOY,96.0,46.0,21.0,2.0
91,610524,ALCOTT HS,Network 4,2016-2017,EOY,69.0,8.0,6.0,3.4
93,610524,ALCOTT HS,Network 4,2017-2018,EOY,24.5,48.0,11.0,0.0
95,610524,ALCOTT HS,Network 4,2018-2019,EOY,52.2,38.0,10.0,0.7
97,610524,ALCOTT HS,Network 15,2019-2020,EOY,97.5,31.0,23.0,2.5
99,610524,ALCOTT HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
101,610524,ALCOTT HS,Network 15,2021-2022,EOY,47.4,17.0,47.0,0.0
124,609780,AMES,Network 4,2013-2014,EOY,51.9,8.0,61.0,0.4
126,609695,AMUNDSEN HS,Network 2,2013-2014,EOY,63.8,57.0,66.0,39.6
128,609695,AMUNDSEN HS,Network 2,2014-2015,EOY,85.6,251.0,76.0,12.5
130,609695,AMUNDSEN HS,Network 2,2015-2016,EOY,63.0,94.0,49.0,19.6
132,609695,AMUNDSEN HS,Network 2,2016-2017,EOY,77.9,159.0,62.0,12.0
134,609695,AMUNDSEN HS,ISP,2017-2018,EOY,86.4,88.0,57.0,29.0
136,609695,AMUNDSEN HS,ISP,2018-2019,EOY,96.5,167.0,58.0,8.0
138,609695,AMUNDSEN HS,ISP,2019-2020,EOY,77.3,80.0,25.0,14.8
140,609695,AMUNDSEN HS,ISP,2021-2022,EOY,43.3,58.0,26.0,1.9
254,610518,AUSTIN CCA HS,Network 3,2016-2017,EOY,12.4,6.0,37.0,7.2
256,610518,AUSTIN CCA HS,Network 3,2017-2018,EOY,68.5,127.0,23.0,8.1
258,610518,AUSTIN CCA HS,Network 15,2018-2019,EOY,58.3,71.0,38.0,3.8
260,610518,AUSTIN CCA HS,Network 15,2019-2020,EOY,49.2,12.0,32.0,4.2
262,610518,AUSTIN CCA HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
264,610518,AUSTIN CCA HS,Network 15,2021-2022,EOY,42.5,21.0,21.0,3.7
314,610563,BACK OF THE YARDS HS,Network 8,2013-2014,EOY,100.0,5.0,6.0,9.1
316,610563,BACK OF THE YARDS HS,Network 8,2014-2015,EOY,96.0,3.0,19.0,28.0
318,610563,BACK OF THE YARDS HS,Network 8,2015-2016,EOY,68.5,2.0,32.0,1.9
320,610563,BACK OF THE YARDS HS,Network 8,2016-2017,EOY,75.4,1.0,39.0,5.3
322,610563,BACK OF THE YARDS HS,ISP,2017-2018,EOY,56.1,1.0,46.0,0.0
324,610563,BACK OF THE YARDS HS,ISP,2018-2019,EOY,37.3,0.0,33.0,0.0
326,610563,BACK OF THE YARDS HS,ISP,2019-2020,EOY,3.6,0.0,1.0,3.6
328,610563,BACK OF THE YARDS HS,ISP,2021-2022,EOY,93.6,0.0,36.0,8.5
587,609698,BOGAN HS,OS4,2013-2014,EOY,97.1,502.0,253.0,0.4
589,609698,BOGAN HS,OS4,2014-2015,EOY,88.5,248.0,98.0,0.8
591,609698,BOGAN HS,Network 10,2015-2016,EOY,89.7,245.0,90.0,0.2
593,609698,BOGAN HS,Network 10,2016-2017,EOY,85.0,199.0,77.0,0.4
595,609698,BOGAN HS,Network 10,2017-2018,EOY,79.5,109.0,86.0,4.0
597,609698,BOGAN HS,Network 16,2018-2019,EOY,48.3,41.0,108.0,0.5
599,609698,BOGAN HS,Network 16,2019-2020,EOY,30.2,14.0,71.0,9.7
601,609698,BOGAN HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
603,609698,BOGAN HS,Network 16,2021-2022,EOY,34.6,60.0,137.0,2.2
657,610323,BOWEN HS,OS4,2013-2014,EOY,105.4,342.0,264.0,1.8
659,610323,BOWEN HS,OS4,2014-2015,EOY,102.7,346.0,153.0,1.9
661,610323,BOWEN HS,Network 12,2015-2016,EOY,92.2,316.0,136.0,0.7
663,610323,BOWEN HS,Network 12,2016-2017,EOY,96.2,220.0,43.0,0.3
665,610323,BOWEN HS,Network 12,2017-2018,EOY,89.7,203.0,37.0,1.0
667,610323,BOWEN HS,Network 17,2018-2019,EOY,81.1,137.0,14.0,0.6
669,610323,BOWEN HS,Network 17,2019-2020,EOY,51.6,31.0,7.0,5.4
671,610323,BOWEN HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
673,610323,BOWEN HS,Network 17,2021-2022,EOY,46.0,28.0,13.0,8.8
795,610381,BRONZEVILLE HS,OS4,2013-2014,EOY,89.6,117.0,178.0,1.4
797,610381,BRONZEVILLE HS,OS4,2014-2015,EOY,86.9,119.0,109.0,0.6
799,610381,BRONZEVILLE HS,Network 9,2015-2016,EOY,92.3,186.0,69.0,6.5
801,610381,BRONZEVILLE HS,Network 9,2016-2017,EOY,87.4,46.0,105.0,7.4
803,610381,BRONZEVILLE HS,Network 9,2017-2018,EOY,58.8,46.0,62.0,11.7
805,610381,BRONZEVILLE HS,Network 17,2018-2019,EOY,76.1,73.0,78.0,3.9
807,610381,BRONZEVILLE HS,Network 17,2019-2020,EOY,47.0,12.0,13.0,4.5
809,610381,BRONZEVILLE HS,Network 17,2021-2022,EOY,46.2,1.0,4.0,0.0
812,609726,BROOKS HS,Network 13,2013-2014,EOY,25.8,1.0,34.0,2.6
814,609726,BROOKS HS,Network 13,2014-2015,EOY,13.5,24.0,21.0,0.0
816,609726,BROOKS HS,ISP,2015-2016,EOY,31.1,64.0,43.0,0.7
818,609726,BROOKS HS,Network 13,2016-2017,EOY,30.2,34.0,33.0,0.0
820,609726,BROOKS HS,Network 13,2017-2018,EOY,81.9,48.0,30.0,0.0
822,609726,BROOKS HS,Network 17,2018-2019,EOY,77.3,34.0,34.0,0.9
824,609726,BROOKS HS,Network 17,2019-2020,EOY,35.9,20.0,20.0,0.9
825,609726,BROOKS HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
827,609726,BROOKS HS,ISP,2021-2022,EOY,33.8,4.0,19.0,15.5
1059,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
1061,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2018-2019,EOY,33.3,0.0,1.0,0.0
1063,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2019-2020,EOY,100.0,0.0,1.0,0.0
1065,400147,CAMELOT - EXCEL HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1066,400147,CAMELOT - EXCEL HS,Options,2018-2019,EOY,0.0,0.0,0.0,33.3
1068,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2016-2017,EOY,0.0,0.0,0.0,3.8
1070,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1072,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1074,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2019-2020,EOY,0.0,0.0,0.0,0.0
1076,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2016-2017,EOY,100.0,0.0,8.0,12.5
1077,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2017-2018,EOY,66.7,5.0,3.0,8.3
1079,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1081,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2019-2020,EOY,75.9,1.0,20.0,34.5
1082,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2020-2021,EOY,0.0,0.0,0.0,0.0
1094,610573,CAMELOT SAFE ACADEMY HS,Options,2013-2014,EOY,20.0,0.0,2.0,0.0
1096,610573,CAMELOT SAFE ACADEMY HS,Options,2014-2015,EOY,0.0,0.0,0.0,0.0
1101,610573,CAMELOT SAFE HS,Options,2015-2016,EOY,0.0,0.0,0.0,0.0
1103,610573,CAMELOT SAFE HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
1261,609760,CARVER MILITARY,Military,2013-2014,EOY,74.2,55.0,51.0,0.6
1263,609760,CARVER MILITARY,Service Leadership Academies,2014-2015,EOY,98.7,42.0,20.0,1.3
1265,609760,CARVER MILITARY HS,Service Leadership Academies,2015-2016,EOY,68.2,25.0,24.0,14.8
1267,609760,CARVER MILITARY HS,Network 6,2016-2017,EOY,93.4,29.0,21.0,0.0
1269,609760,CARVER MILITARY HS,Network 6,2017-2018,EOY,111.1,15.0,24.0,11.1
1271,609760,CARVER MILITARY HS,Network 17,2018-2019,EOY,134.2,52.0,46.0,6.0
1273,609760,CARVER MILITARY HS,Network 17,2019-2020,EOY,86.1,28.0,24.0,16.7
1275,609760,CARVER MILITARY HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1277,609760,CARVER MILITARY HS,Network 17,2021-2022,EOY,80.0,43.0,26.0,10.0
1426,610340,CHGO ACAD HS,AUSL,2013-2014,EOY,98.7,6.0,44.0,0.0
1428,610340,CHGO ACAD HS,AUSL,2014-2015,EOY,101.0,113.0,39.0,0.0
1430,609753,CHGO AGR HS,Network 10,2013-2014,EOY,98.9,188.0,66.0,0.2
1432,609753,CHGO AGR HS,Network 10,2014-2015,EOY,23.3,0.0,14.0,5.5
1434,400022,CHGO ARTS CONTR HS,Contract,2013-2014,EOY,61.7,12.0,55.0,5.3
1438,609754,CHGO MILITARY ACAD HS,Military,2013-2014,EOY,80.9,158.0,176.0,0.5
1440,609754,CHGO MILITARY ACAD HS,Service Leadership Academies,2014-2015,EOY,7.0,1.0,112.0,0.8
1442,400022,CHIARTS HS,Contract,2017-2018,EOY,23.8,0.0,28.0,0.6
1444,400022,CHIARTS HS,Contract,2018-2019,EOY,41.4,9.0,17.0,1.4
1446,400022,CHIARTS HS,Contract,2019-2020,EOY,32.1,17.0,6.0,7.1
1448,400022,CHIARTS HS,Contract,2020-2021,EOY,0.0,0.0,0.0,0.0
1450,400022,CHIARTS HS,Contract,2021-2022,EOY,66.7,0.0,15.0,12.5
1465,610340,CHICAGO ACADEMY HS,AUSL,2015-2016,EOY,37.5,215.0,34.0,0.1
1467,610340,CHICAGO ACADEMY HS,AUSL,2016-2017,EOY,53.4,40.0,29.0,1.2
1469,610340,CHICAGO ACADEMY HS,AUSL,2017-2018,EOY,18.6,101.0,20.0,0.2
1471,610340,CHICAGO ACADEMY HS,AUSL,2018-2019,EOY,62.3,201.0,4.0,0.0
1473,610340,CHICAGO ACADEMY HS,AUSL,2019-2020,EOY,22.3,33.0,1.0,0.0
1475,610340,CHICAGO ACADEMY HS,AUSL,2020-2021,EOY,0.0,0.0,0.0,0.0
1477,610340,CHICAGO ACADEMY HS,AUSL,2021-2022,EOY,13.5,10.0,1.0,0.0
1479,609753,CHICAGO AGRICULTURE HS,Network 10,2015-2016,EOY,20.6,1.0,21.0,0.7
1481,609753,CHICAGO AGRICULTURE HS,ISP,2016-2017,EOY,32.3,9.0,18.0,0.0
1483,609753,CHICAGO AGRICULTURE HS,ISP,2017-2018,EOY,18.3,2.0,15.0,1.0
1485,609753,CHICAGO AGRICULTURE HS,ISP,2018-2019,EOY,14.0,3.0,6.0,1.2
1487,609753,CHICAGO AGRICULTURE HS,ISP,2019-2020,EOY,52.6,16.0,12.0,5.3
1488,609753,CHICAGO AGRICULTURE HS,ISP,2020-2021,EOY,60.0,0.0,2.0,0.0
1490,609753,CHICAGO AGRICULTURE HS,ISP,2021-2022,EOY,34.5,0.0,15.0,3.4
1492,400022,CHICAGO ARTS HS,Contract,2014-2015,EOY,33.7,0.0,43.0,3.3
1494,400022,CHICAGO ARTS HS,Contract,2015-2016,EOY,53.7,14.0,42.0,0.0
1496,400022,CHICAGO ARTS HS,Contract,2016-2017,EOY,47.2,9.0,38.0,1.6
1506,400147,CHICAGO EXCEL CONTR ACAD,Contract,2013-2014,EOY,66.7,0.0,6.0,8.3
1507,400147,CHICAGO EXCEL HS,Options,2021-2022,EOY,0.0,0.0,0.0,0.0
1517,609754,CHICAGO MILITARY HS,Service Leadership Academies,2015-2016,EOY,46.7,0.0,53.0,2.8
1519,609754,CHICAGO MILITARY HS,Network 6,2016-2017,EOY,54.5,3.0,43.0,0.0
1521,609754,CHICAGO MILITARY HS,Network 6,2017-2018,EOY,38.7,29.0,46.0,0.4
1523,609754,CHICAGO MILITARY HS,Network 17,2018-2019,EOY,62.7,52.0,30.0,0.0
1525,609754,CHICAGO MILITARY HS,Network 17,2019-2020,EOY,73.7,38.0,13.0,0.0
1527,609754,CHICAGO MILITARY HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1529,609754,CHICAGO MILITARY HS,Network 17,2021-2022,EOY,24.5,31.0,26.0,0.9
1533,400091,CHICAGO TECH ACADEMY,Contract,2013-2014,EOY,74.5,50.0,76.0,0.5
1535,400091,CHICAGO TECH HS,Contract,2014-2015,EOY,99.4,40.0,77.0,0.0
1537,400091,CHICAGO TECH HS,Contract,2015-2016,EOY,94.8,50.0,63.0,0.0
1539,400091,CHICAGO TECH HS,Contract,2016-2017,EOY,25.7,5.0,19.0,0.0
1541,400091,CHICAGO TECH HS,Contract,2017-2018,EOY,38.1,0.0,33.0,1.0
1543,400091,CHICAGO TECH HS,Contract,2018-2019,EOY,30.1,0.0,24.0,4.8
1545,400091,CHICAGO TECH HS,Contract,2019-2020,EOY,0.0,0.0,0.0,0.0
1547,400091,CHICAGO TECH HS,Contract,2021-2022,EOY,65.4,1.0,15.0,11.5
1549,609674,CHICAGO VOCATIONAL HS,OS4,2013-2014,EOY,83.6,77.0,248.0,49.1
1551,609674,CHICAGO VOCATIONAL HS,OS4,2014-2015,EOY,57.9,33.0,125.0,53.4
1553,609674,CHICAGO VOCATIONAL HS,Network 12,2015-2016,EOY,67.2,3.0,133.0,78.9
1555,609674,CHICAGO VOCATIONAL HS,Network 12,2016-2017,EOY,56.2,12.0,136.0,60.9
1557,609674,CHICAGO VOCATIONAL HS,Network 12,2017-2018,EOY,103.0,64.0,96.0,30.5
1559,609674,CHICAGO VOCATIONAL HS,Network 17,2018-2019,EOY,91.2,57.0,106.0,18.0
1561,609674,CHICAGO VOCATIONAL HS,Network 17,2019-2020,EOY,49.2,19.0,84.0,33.3
1563,609674,CHICAGO VOCATIONAL HS,Network 17,2020-2021,EOY,100.0,0.0,1.0,0.0
1565,609674,CHICAGO VOCATIONAL HS,Network 17,2021-2022,EOY,57.9,0.0,73.0,16.3
1697,610244,CLARK HS,Network 3,2013-2014,EOY,100.0,5.0,130.0,0.9
1699,610244,CLARK HS,Network 3,2014-2015,EOY,99.4,63.0,172.0,2.5
1701,610244,CLARK HS,Network 3,2015-2016,EOY,97.9,38.0,171.0,1.2
1703,610244,CLARK HS,Network 3,2016-2017,EOY,77.2,74.0,76.0,1.7
1705,610244,CLARK HS,Network 3,2017-2018,EOY,98.5,59.0,130.0,9.2
1707,610244,CLARK HS,Network 15,2018-2019,EOY,88.4,137.0,35.0,5.6
1709,610244,CLARK HS,ISP,2019-2020,EOY,60.3,3.0,32.0,15.9
1711,610244,CLARK HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
1713,610244,CLARK HS,ISP,2021-2022,EOY,23.5,13.0,59.0,2.4
1736,609759,CLEMENTE HS,OS4,2013-2014,EOY,37.3,0.0,233.0,2.0
1738,609759,CLEMENTE HS,OS4,2014-2015,EOY,25.1,0.0,269.0,0.4
1740,609759,CLEMENTE HS,Network 5,2015-2016,EOY,21.8,0.0,309.0,1.0
1742,609759,CLEMENTE HS,ISP,2016-2017,EOY,18.4,0.0,240.0,0.3
1744,609759,CLEMENTE HS,Network 5,2017-2018,EOY,49.4,108.0,131.0,6.6
1746,609759,CLEMENTE HS,Network 15,2018-2019,EOY,65.0,138.0,164.0,5.8
1748,609759,CLEMENTE HS,Network 15,2019-2020,EOY,75.8,220.0,73.0,3.9
1750,609759,CLEMENTE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,14.3
1752,609759,CLEMENTE HS,Network 15,2021-2022,EOY,41.3,49.0,135.0,1.8
1842,610499,COLLINS HS,AUSL,2013-2014,EOY,60.6,145.0,137.0,2.1
1844,610499,COLLINS HS,AUSL,2014-2015,EOY,43.7,6.0,130.0,24.6
1846,610499,COLLINS HS,AUSL,2015-2016,EOY,92.3,325.0,147.0,0.9
1848,610499,COLLINS HS,AUSL,2016-2017,EOY,90.4,177.0,89.0,0.5
1850,610499,COLLINS HS,AUSL,2017-2018,EOY,92.7,185.0,16.0,0.0
1852,610499,COLLINS HS,AUSL,2018-2019,EOY,97.2,188.0,16.0,0.0
1854,610499,COLLINS HS,AUSL,2019-2020,EOY,100.0,81.0,3.0,0.0
1856,610499,COLLINS HS,AUSL,2021-2022,EOY,71.4,1.0,4.0,0.0
1960,609761,CORLISS HS,Network 13,2013-2014,EOY,90.6,68.0,147.0,11.0
1962,609761,CORLISS HS,Network 13,2014-2015,EOY,39.6,23.0,65.0,35.0
1964,609761,CORLISS HS,Network 13,2015-2016,EOY,30.2,39.0,34.0,11.6
1966,609761,CORLISS HS,Network 13,2016-2017,EOY,44.8,39.0,71.0,22.0
1968,609761,CORLISS HS,Network 13,2017-2018,EOY,44.7,96.0,61.0,5.9
1970,609761,CORLISS HS,Network 17,2018-2019,EOY,59.1,101.0,85.0,2.6
1972,609761,CORLISS HS,Network 17,2019-2020,EOY,36.4,17.0,37.0,12.1
1974,609761,CORLISS HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1976,609761,CORLISS HS,Network 17,2021-2022,EOY,18.3,0.0,76.0,1.7
2000,610561,CRANE MEDICAL HS,Network 6,2015-2016,EOY,44.2,0.0,36.0,1.0
2002,610561,CRANE MEDICAL HS,Network 6,2016-2017,EOY,28.6,40.0,49.0,1.1
2004,610561,CRANE MEDICAL HS,Network 6,2017-2018,EOY,75.8,88.0,60.0,3.0
2006,610561,CRANE MEDICAL HS,Network 15,2018-2019,EOY,52.9,24.0,47.0,12.6
2008,610561,CRANE MEDICAL HS,Network 15,2019-2020,EOY,46.6,3.0,33.0,14.8
2010,610561,CRANE MEDICAL HS,Network 15,2021-2022,EOY,43.8,69.0,89.0,3.0
2062,609756,CURIE HS,Network 8,2013-2014,EOY,45.9,757.0,383.0,6.5
2064,609756,CURIE HS,Network 8,2014-2015,EOY,15.2,120.0,198.0,5.3
2066,609756,CURIE HS,Network 8,2015-2016,EOY,44.0,100.0,188.0,4.5
2068,609756,CURIE HS,Network 8,2016-2017,EOY,47.3,72.0,182.0,2.7
2070,609756,CURIE HS,Network 8,2017-2018,EOY,48.7,118.0,144.0,1.4
2072,609756,CURIE HS,Network 15,2018-2019,EOY,76.2,79.0,216.0,1.0
2074,609756,CURIE HS,Network 15,2019-2020,EOY,53.0,57.0,115.0,4.3
2076,609756,CURIE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,3.6
2078,609756,CURIE HS,Network 15,2021-2022,EOY,39.7,15.0,192.0,2.1
2284,610402,DEVRY HS,Network 4,2013-2014,EOY,58.3,2.0,8.0,4.2
2286,610402,DEVRY HS,Network 4,2014-2015,EOY,22.7,3.0,2.0,0.0
2288,610402,DEVRY HS,Network 4,2015-2016,EOY,50.0,3.0,0.0,0.0
2289,610402,DEVRY HS,Network 4,2016-2017,EOY,50.0,1.0,0.0,0.0
2291,610402,DEVRY HS,ISP,2017-2018,EOY,60.0,2.0,1.0,0.0
2293,610402,DEVRY HS,ISP,2018-2019,EOY,6.3,1.0,0.0,6.3
2295,610402,DEVRY HS,Network 14,2019-2020,EOY,6.7,1.0,0.0,0.0
2297,610402,DEVRY HS,Network 14,2021-2022,EOY,7.7,2.0,1.0,2.6
2368,610564,DISNEY II HS,ISP,2015-2016,EOY,46.1,70.0,63.0,1.6
2370,610564,DISNEY II HS,Network 1,2016-2017,EOY,67.1,39.0,53.0,1.8
