,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
7168,609679,PROSSER HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
7170,609679,PROSSER HS,Network 15,2021-2022,EOY,15.0,51.0,13.0,1.0
7227,610334,RABY HS,OS4,2013-2014,EOY,96.0,254.0,186.0,1.8
7229,610334,RABY HS,OS4,2014-2015,EOY,60.0,211.0,152.0,2.5
7231,610334,RABY HS,Network 5,2015-2016,EOY,79.8,210.0,147.0,0.3
7233,610334,RABY HS,Network 5,2016-2017,EOY,54.1,207.0,121.0,0.5
7235,610334,RABY HS,Network 5,2017-2018,EOY,67.3,76.0,91.0,0.0
7237,610334,RABY HS,Network 15,2018-2019,EOY,29.6,0.0,61.0,0.7
7239,610334,RABY HS,Network 15,2019-2020,EOY,7.4,0.0,23.0,0.6
7241,610334,RABY HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
7243,610334,RABY HS,Network 15,2021-2022,EOY,30.7,16.0,73.0,1.4
7369,610561,RICHARD T CRANE HS,Network 6,2013-2014,EOY,32.9,0.0,17.0,1.4
7371,610561,RICHARD T CRANE HS,Network 6,2014-2015,EOY,39.8,2.0,28.0,23.7
7373,609682,RICHARDS HS,OS4,2013-2014,EOY,58.7,144.0,131.0,5.7
7375,609682,RICHARDS HS,Network 8,2014-2015,EOY,44.6,44.0,113.0,10.6
7377,609682,RICHARDS HS,Network 8,2015-2016,EOY,51.0,44.0,121.0,3.5
7379,609682,RICHARDS HS,Network 8,2016-2017,EOY,59.9,20.0,71.0,12.2
7381,609682,RICHARDS HS,Network 8,2017-2018,EOY,31.7,89.0,50.0,0.5
7383,609682,RICHARDS HS,Network 16,2018-2019,EOY,31.5,101.0,45.0,0.0
7385,609682,RICHARDS HS,Network 16,2019-2020,EOY,33.9,65.0,28.0,1.5
7387,609682,RICHARDS HS,Network 16,2020-2021,EOY,15.4,0.0,2.0,0.0
7389,609682,RICHARDS HS,Network 16,2021-2022,EOY,25.0,57.0,56.0,1.0
7403,610390,RICKOVER HS,Military,2013-2014,EOY,30.2,0.0,59.0,4.6
7405,610390,RICKOVER HS,Service Leadership Academies,2014-2015,EOY,51.0,68.0,14.0,3.5
7407,610390,RICKOVER MILITARY HS,Service Leadership Academies,2015-2016,EOY,63.7,44.0,48.0,1.6
7409,610390,RICKOVER MILITARY HS,Network 6,2016-2017,EOY,71.3,55.0,41.0,2.7
7411,610390,RICKOVER MILITARY HS,ISP,2017-2018,EOY,51.4,47.0,28.0,2.7
7413,610390,RICKOVER MILITARY HS,ISP,2018-2019,EOY,48.7,57.0,23.0,0.9
7415,610390,RICKOVER MILITARY HS,ISP,2019-2020,EOY,50.8,14.0,13.0,5.1
7417,610390,RICKOVER MILITARY HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
7419,610390,RICKOVER MILITARY HS,ISP,2021-2022,EOY,45.3,11.0,31.0,4.3
7461,609728,ROOSEVELT HS,Network 1,2013-2014,EOY,93.6,69.0,157.0,8.8
7463,609728,ROOSEVELT HS,Network 1,2014-2015,EOY,66.5,202.0,94.0,3.6
7465,609728,ROOSEVELT HS,Network 1,2015-2016,EOY,69.7,386.0,136.0,3.9
7467,609728,ROOSEVELT HS,Network 1,2016-2017,EOY,64.5,245.0,112.0,3.4
7469,609728,ROOSEVELT HS,Network 1,2017-2018,EOY,73.2,267.0,91.0,1.3
7471,609728,ROOSEVELT HS,Network 14,2018-2019,EOY,104.2,198.0,102.0,1.2
7473,609728,ROOSEVELT HS,Network 14,2019-2020,EOY,84.8,50.0,33.0,9.6
7475,609728,ROOSEVELT HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
7477,609728,ROOSEVELT HS,Network 14,2021-2022,EOY,31.7,106.0,35.0,0.7
7556,610573,SAFE ACHIEVE HS,Options,2021-2022,EOY,0.0,0.0,0.0,0.0
7706,609729,SCHURZ HS,Network 1,2013-2014,EOY,99.1,275.0,355.0,9.6
7708,609729,SCHURZ HS,Network 1,2014-2015,EOY,58.0,57.0,221.0,28.8
7710,609729,SCHURZ HS,Network 1,2015-2016,EOY,64.8,50.0,115.0,50.6
7712,609729,SCHURZ HS,Network 1,2016-2017,EOY,62.9,184.0,93.0,17.7
7714,609729,SCHURZ HS,Network 1,2017-2018,EOY,57.2,84.0,105.0,19.7
7716,609729,SCHURZ HS,Network 14,2018-2019,EOY,51.1,47.0,155.0,37.2
7718,609729,SCHURZ HS,Network 14,2019-2020,EOY,33.6,26.0,44.0,2.7
7720,609729,SCHURZ HS,Network 14,2020-2021,EOY,5.0,0.0,1.0,0.0
7722,609729,SCHURZ HS,Network 14,2021-2022,EOY,22.3,37.0,110.0,3.2
7724,609730,SENN HS,Network 2,2013-2014,EOY,60.8,374.0,126.0,5.8
7726,609730,SENN HS,Network 2,2014-2015,EOY,53.0,368.0,118.0,4.9
7728,609730,SENN HS,Network 2,2015-2016,EOY,31.2,82.0,148.0,13.6
7730,609730,SENN HS,Network 2,2016-2017,EOY,21.1,2.0,113.0,12.1
7732,609730,SENN HS,Network 2,2017-2018,EOY,39.8,26.0,157.0,6.1
7734,609730,SENN HS,Network 14,2018-2019,EOY,48.5,11.0,125.0,2.1
7736,609730,SENN HS,Network 14,2019-2020,EOY,73.5,200.0,57.0,1.7
7738,609730,SENN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,20.0
7740,609730,SENN HS,Network 14,2021-2022,EOY,23.5,26.0,58.0,2.3
7867,609692,SIMEON HS,Network 11,2013-2014,EOY,99.0,190.0,229.0,6.7
7869,609692,SIMEON HS,Network 11,2014-2015,EOY,50.5,141.0,230.0,7.0
7871,609692,SIMEON HS,Network 11,2015-2016,EOY,74.4,95.0,235.0,10.1
7873,609692,SIMEON HS,Network 11,2016-2017,EOY,76.5,91.0,248.0,8.6
7875,609692,SIMEON HS,ISP,2017-2018,EOY,92.9,83.0,203.0,0.0
7877,609692,SIMEON HS,Network 17,2018-2019,EOY,82.8,26.0,162.0,5.2
7879,609692,SIMEON HS,Network 17,2019-2020,EOY,33.5,2.0,70.0,4.4
7881,609692,SIMEON HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
7883,609692,SIMEON HS,Network 17,2021-2022,EOY,48.7,4.0,281.0,2.7
7885,609750,SIMPSON HS,Options,2013-2014,EOY,88.4,9.0,22.0,7.0
7887,609750,SIMPSON HS,Options,2014-2015,EOY,71.4,0.0,5.0,0.0
7888,609750,SIMPSON HS,Network 6,2015-2016,EOY,100.0,0.0,3.0,100.0
7889,609750,SIMPSON HS,Network 6,2016-2017,EOY,50.0,0.0,5.0,40.0
7891,609750,SIMPSON HS,Network 6,2017-2018,EOY,80.6,3.0,18.0,38.9
7893,609750,SIMPSON HS,Network 15,2018-2019,EOY,16.7,0.0,1.0,0.0
7895,609750,SIMPSON HS,Network 15,2019-2020,EOY,22.2,1.0,1.0,66.7
7897,609750,SIMPSON HS,Network 15,2021-2022,EOY,42.9,1.0,4.0,0.0
7982,610383,SOCIAL JUSTICE HS,Network 7,2015-2016,EOY,105.1,8.0,17.0,0.0
7984,610383,SOCIAL JUSTICE HS,Network 7,2016-2017,EOY,103.2,4.0,18.0,6.5
7986,610383,SOCIAL JUSTICE HS,Network 7,2017-2018,EOY,136.2,17.0,37.0,0.0
7988,610383,SOCIAL JUSTICE HS,Network 15,2018-2019,EOY,27.5,1.0,11.0,4.3
7990,610383,SOCIAL JUSTICE HS,Network 15,2019-2020,EOY,53.1,13.0,21.0,7.1
7992,610383,SOCIAL JUSTICE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
7994,610383,SOCIAL JUSTICE HS,Network 15,2021-2022,EOY,70.5,15.0,39.0,0.8
8013,610543,SOLORIO HS,AUSL,2013-2014,EOY,99.3,98.0,95.0,1.0
8015,610543,SOLORIO HS,AUSL,2014-2015,EOY,44.4,50.0,32.0,1.7
8017,610543,SOLORIO HS,AUSL,2015-2016,EOY,48.9,48.0,31.0,1.6
8019,610543,SOLORIO HS,AUSL,2016-2017,EOY,74.0,68.0,33.0,0.0
8021,610543,SOLORIO HS,AUSL,2017-2018,EOY,59.3,68.0,40.0,0.8
8023,610543,SOLORIO HS,AUSL,2018-2019,EOY,70.9,65.0,46.0,0.5
8025,610543,SOLORIO HS,AUSL,2019-2020,EOY,75.0,24.0,35.0,3.3
8027,610543,SOLORIO HS,AUSL,2020-2021,EOY,0.0,0.0,0.0,0.0
8029,610543,SOLORIO HS,AUSL,2021-2022,EOY,13.8,29.0,12.0,0.8
8065,610547,SOUTH SHORE INTL HS,Network 12,2013-2014,EOY,49.2,122.0,68.0,3.1
8067,610547,SOUTH SHORE INTL HS,Network 12,2014-2015,EOY,78.0,316.0,41.0,1.3
8069,610547,SOUTH SHORE INTL HS,Network 12,2015-2016,EOY,98.2,251.0,16.0,1.0
8071,610547,SOUTH SHORE INTL HS,Network 12,2016-2017,EOY,93.7,22.0,43.0,7.6
8073,610547,SOUTH SHORE INTL HS,Network 12,2017-2018,EOY,76.8,52.0,34.0,6.3
8075,610547,SOUTH SHORE INTL HS,Network 17,2018-2019,EOY,64.7,78.0,74.0,2.3
8077,610547,SOUTH SHORE INTL HS,Network 17,2019-2020,EOY,32.7,37.0,28.0,1.4
8079,610547,SOUTH SHORE INTL HS,Network 17,2020-2021,EOY,12.5,0.0,1.0,0.0
8081,610547,SOUTH SHORE INTL HS,Network 17,2021-2022,EOY,74.1,5.0,50.0,5.9
8092,609745,SOUTHSIDE HS,Network 11,2013-2014,EOY,76.9,5.0,10.0,0.0
8094,609745,SOUTHSIDE HS,Network 11,2014-2015,EOY,44.4,1.0,11.0,0.0
8096,609745,SOUTHSIDE HS,Network 11,2015-2016,EOY,53.8,0.0,12.0,3.8
8098,609745,SOUTHSIDE HS,Network 11,2016-2017,EOY,88.9,1.0,8.0,0.0
8100,609745,SOUTHSIDE HS,ISP,2017-2018,EOY,85.7,0.0,9.0,0.0
8102,609745,SOUTHSIDE HS,ISP,2018-2019,EOY,66.7,1.0,9.0,0.0
8104,609745,SOUTHSIDE HS,ISP,2019-2020,EOY,25.0,0.0,3.0,8.3
8106,609745,SOUTHSIDE HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
8108,609745,SOUTHSIDE HS,ISP,2021-2022,EOY,46.2,2.0,8.0,0.0
8146,610357,SPRY HS,Network 7,2013-2014,EOY,120.0,43.0,27.0,3.0
8148,610357,SPRY HS,Network 7,2014-2015,EOY,120.2,47.0,31.0,0.0
8150,610357,SPRY HS,Network 7,2015-2016,EOY,109.6,34.0,8.0,0.0
8152,610357,SPRY HS,Network 7,2016-2017,EOY,105.0,40.0,9.0,0.0
8154,610357,SPRY HS,Network 7,2017-2018,EOY,112.2,18.0,13.0,0.0
8156,610357,SPRY HS,Network 16,2018-2019,EOY,105.6,26.0,13.0,1.4
8158,610357,SPRY HS,Network 16,2019-2020,EOY,100.0,6.0,4.0,8.3
8159,610357,SPRY HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
8161,610357,SPRY HS,Network 16,2021-2022,EOY,53.6,7.0,3.0,0.0
8179,609732,STEINMETZ COLLEGE PREP HS,Network 3,2013-2014,EOY,100.1,702.0,281.0,0.5
8181,609732,STEINMETZ COLLEGE PREP HS,Network 3,2014-2015,EOY,83.4,653.0,160.0,0.5
8183,609732,STEINMETZ HS,Network 3,2015-2016,EOY,81.6,516.0,165.0,0.5
8185,609732,STEINMETZ HS,Network 3,2016-2017,EOY,61.9,390.0,117.0,0.5
8187,609732,STEINMETZ HS,Network 3,2017-2018,EOY,70.9,441.0,58.0,0.2
8189,609732,STEINMETZ HS,Network 14,2018-2019,EOY,54.9,233.0,130.0,1.0
8191,609732,STEINMETZ HS,Network 14,2019-2020,EOY,73.1,166.0,55.0,2.7
8193,609732,STEINMETZ HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
8195,609732,STEINMETZ HS,Network 14,2021-2022,EOY,37.3,158.0,159.0,1.4
8281,609733,SULLIVAN HS,Network 2,2013-2014,EOY,32.1,0.0,82.0,1.7
8283,609733,SULLIVAN HS,Network 2,2014-2015,EOY,18.1,0.0,55.0,0.7
8285,609733,SULLIVAN HS,Network 2,2015-2016,EOY,15.3,0.0,44.0,0.2
8287,609733,SULLIVAN HS,Network 2,2016-2017,EOY,12.2,0.0,20.0,2.6
8289,609733,SULLIVAN HS,Network 2,2017-2018,EOY,17.8,0.0,50.0,2.7
8291,609733,SULLIVAN HS,Network 14,2018-2019,EOY,9.3,0.0,24.0,0.3
8293,609733,SULLIVAN HS,Network 14,2019-2020,EOY,15.7,0.0,11.0,1.2
8295,609733,SULLIVAN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,14.3
8297,609733,SULLIVAN HS,Network 14,2021-2022,EOY,16.3,0.0,44.0,2.6
8349,609734,TAFT HS,Network 1,2013-2014,EOY,95.6,181.0,153.0,14.5
8351,609734,TAFT HS,Network 1,2014-2015,EOY,25.3,388.0,105.0,3.5
8353,609734,TAFT HS,Network 1,2015-2016,EOY,13.0,133.0,20.0,1.8
8355,609734,TAFT HS,Network 1,2016-2017,EOY,10.4,134.0,18.0,2.0
8357,609734,TAFT HS,Network 1,2017-2018,EOY,11.6,149.0,34.0,3.2
8359,609734,TAFT HS,Network 14,2018-2019,EOY,12.1,159.0,39.0,2.8
8361,609734,TAFT HS,Network 14,2019-2020,EOY,8.9,156.0,25.0,1.1
8363,609734,TAFT HS,Network 14,2020-2021,EOY,0.9,0.0,1.0,0.9
8365,609734,TAFT HS,Network 14,2021-2022,EOY,13.4,174.0,45.0,1.5
8512,609735,TILDEN HS,OS4,2013-2014,EOY,95.0,181.0,147.0,5.1
8514,609735,TILDEN HS,OS4,2014-2015,EOY,72.8,71.0,112.0,22.6
8516,609735,TILDEN HS,Network 8,2015-2016,EOY,73.1,2.0,93.0,19.6
8518,609735,TILDEN HS,Network 8,2016-2017,EOY,56.9,12.0,75.0,16.1
8520,609735,TILDEN HS,Network 8,2017-2018,EOY,90.7,15.0,73.0,25.8
8522,609735,TILDEN HS,Network 16,2018-2019,EOY,37.2,6.0,40.0,22.6
8524,609735,TILDEN HS,Network 16,2019-2020,EOY,15.2,0.0,22.0,3.7
8526,609735,TILDEN HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,8.3
8528,609735,TILDEN HS,Network 16,2021-2022,EOY,29.0,2.0,38.0,0.6
8640,610394,UPLIFT HS,Network 2,2013-2014,EOY,49.9,76.0,78.0,1.9
8642,610394,UPLIFT HS,Network 2,2014-2015,EOY,52.8,106.0,43.0,0.2
8644,610394,UPLIFT HS,Network 2,2015-2016,EOY,85.1,50.0,65.0,2.1
8646,610394,UPLIFT HS,Network 2,2016-2017,EOY,86.6,30.0,75.0,2.5
8648,610394,UPLIFT HS,Network 2,2017-2018,EOY,10.2,2.0,29.0,3.6
8650,610394,UPLIFT HS,Network 14,2018-2019,EOY,12.9,49.0,18.0,0.2
8652,610394,UPLIFT HS,Network 14,2019-2020,EOY,22.2,19.0,5.0,0.0
8654,610394,UPLIFT HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,25.0
8656,610394,UPLIFT HS,Network 14,2021-2022,EOY,41.0,8.0,10.0,0.0
8717,609766,VAUGHN HS,Network 1,2013-2014,EOY,100.0,5.0,14.0,16.0
8719,609766,VAUGHN HS,Network 1,2014-2015,EOY,100.0,6.0,6.0,14.3
8721,609766,VAUGHN HS,Network 1,2015-2016,EOY,24.2,9.0,9.0,6.6
8723,609766,VAUGHN HS,Network 1,2016-2017,EOY,26.9,6.0,14.0,9.7
8725,609766,VAUGHN HS,Network 1,2017-2018,EOY,12.0,4.0,5.0,5.6
8727,609766,VAUGHN HS,Network 14,2018-2019,EOY,8.7,1.0,7.0,0.0
8729,609766,VAUGHN HS,Network 14,2019-2020,EOY,5.4,0.0,4.0,1.8
8731,609766,VAUGHN HS,Network 14,2020-2021,EOY,11.8,0.0,3.0,0.0
8733,609766,VAUGHN HS,Network 14,2021-2022,EOY,2.8,2.0,3.0,0.0
8737,610518,VOISE HS,Network 3,2013-2014,EOY,76.8,2.0,140.0,25.0
8739,610518,VOISE HS,Network 3,2014-2015,EOY,80.6,163.0,89.0,1.8
8741,610518,VOISE HS,Network 3,2015-2016,EOY,63.2,127.0,76.0,0.9
8775,609737,VON STEUBEN HS,Network 1,2013-2014,EOY,25.4,0.0,93.0,16.5
8777,609737,VON STEUBEN HS,Network 1,2014-2015,EOY,60.2,36.0,49.0,31.9
8779,609737,VON STEUBEN HS,Network 1,2015-2016,EOY,38.3,57.0,60.0,22.1
8781,609737,VON STEUBEN HS,Network 1,2016-2017,EOY,20.4,32.0,37.0,2.6
8783,609737,VON STEUBEN HS,Network 1,2017-2018,EOY,11.7,15.0,43.0,0.3
8785,609737,VON STEUBEN HS,Network 14,2018-2019,EOY,18.0,10.0,81.0,0.3
8787,609737,VON STEUBEN HS,Network 14,2019-2020,EOY,10.7,27.0,27.0,0.2
8789,609737,VON STEUBEN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
8791,609737,VON STEUBEN HS,Network 14,2021-2022,EOY,12.6,15.0,22.0,2.8
8912,609739,WASHINGTON HS,Network 13,2013-2014,EOY,56.0,0.0,315.0,7.8
8914,609739,WASHINGTON HS,Network 13,2014-2015,EOY,28.5,416.0,162.0,1.9
8916,609739,WASHINGTON HS,Network 13,2015-2016,EOY,19.9,297.0,144.0,1.0
8918,609739,WASHINGTON HS,Network 13,2016-2017,EOY,7.9,306.0,92.0,0.2
8920,609739,WASHINGTON HS,Network 13,2017-2018,EOY,7.9,248.0,94.0,0.5
8922,609739,WASHINGTON HS,Network 17,2018-2019,EOY,25.3,240.0,78.0,0.8
8924,609739,WASHINGTON HS,Network 17,2019-2020,EOY,28.7,91.0,47.0,4.3
8926,609739,WASHINGTON HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
8928,609739,WASHINGTON HS,Network 17,2021-2022,EOY,13.3,126.0,114.0,0.0
8975,609740,WELLS HS,OS4,2013-2014,EOY,54.2,23.0,112.0,5.4
8977,609740,WELLS HS,Network 6,2014-2015,EOY,61.0,72.0,33.0,10.1
8979,609740,WELLS HS,Network 6,2015-2016,EOY,80.7,90.0,20.0,1.0
8981,609740,WELLS HS,ISP,2016-2017,EOY,103.3,50.0,3.0,0.0
8983,609740,WELLS HS,Network 6,2017-2018,EOY,115.1,100.0,54.0,10.0
8985,609740,WELLS HS,Network 15,2018-2019,EOY,77.5,69.0,88.0,5.1
8987,609740,WELLS HS,Network 15,2019-2020,EOY,20.5,14.0,64.0,4.9
8988,609740,WELLS HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
8990,609740,WELLS HS,Network 15,2021-2022,EOY,15.8,16.0,50.0,3.0
9057,609693,WESTINGHOUSE HS,Network 5,2015-2016,EOY,43.0,1.0,70.0,0.0
9059,609693,WESTINGHOUSE HS,Network 5,2016-2017,EOY,42.8,0.0,51.0,0.0
9061,609693,WESTINGHOUSE HS,Network 5,2017-2018,EOY,65.3,0.0,82.0,0.0
9063,609693,WESTINGHOUSE HS,Network 15,2018-2019,EOY,30.9,0.0,56.0,0.0
9065,609693,WESTINGHOUSE HS,Network 15,2019-2020,EOY,0.8,1.0,37.0,0.0
9067,609693,WESTINGHOUSE HS,Network 15,2020-2021,EOY,8.3,0.0,1.0,0.0
9069,609693,WESTINGHOUSE HS,Network 15,2021-2022,EOY,1.2,0.0,94.0,0.0
9147,610380,WILLIAMS HS,Network 9,2015-2016,EOY,33.4,46.0,54.0,8.7
9149,610380,WILLIAMS HS,Network 9,2016-2017,EOY,70.5,33.0,39.0,1.6
9151,610380,WILLIAMS HS,Network 9,2017-2018,EOY,50.8,20.0,50.0,8.0
9153,610380,WILLIAMS HS,Network 17,2018-2019,EOY,37.2,11.0,31.0,0.6
9155,610380,WILLIAMS HS,Network 17,2019-2020,EOY,29.3,9.0,11.0,8.0
9157,610380,WILLIAMS HS,Network 17,2021-2022,EOY,35.3,3.0,1.0,0.0
9159,610380,"WILLIAMS, D",Network 9,2013-2014,EOY,93.1,94.0,65.0,25.5
9161,610380,"WILLIAMS, D",Network 9,2014-2015,EOY,35.5,13.0,78.0,20.5
9186,610392,WORLD LANGUAGE HS,Network 7,2013-2014,EOY,67.6,10.0,28.0,2.8
9188,610392,WORLD LANGUAGE HS,Network 7,2014-2015,EOY,41.9,9.0,8.0,7.0
9190,610392,WORLD LANGUAGE HS,Network 7,2015-2016,EOY,47.2,12.0,5.0,5.6
9192,610392,WORLD LANGUAGE HS,Network 7,2016-2017,EOY,103.6,12.0,10.0,7.1
9194,610392,WORLD LANGUAGE HS,Network 7,2017-2018,EOY,97.4,27.0,6.0,0.0
9196,610392,WORLD LANGUAGE HS,Network 15,2018-2019,EOY,101.6,24.0,17.0,0.0
9198,610392,WORLD LANGUAGE HS,Network 15,2019-2020,EOY,94.1,4.0,12.0,11.8
9200,610392,WORLD LANGUAGE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
9202,610392,WORLD LANGUAGE HS,Network 15,2021-2022,EOY,45.0,5.0,2.0,10.0
