Early College and Career Credentials (ECCC) SY2022 Metric,,,,,,,,,,,
School ID,School Name,Network,N Graduates,% Students Earning Any ECCC,AP Exam %,IB Exam %,CTE %,Dual Credit %,Dual Enrollment %,JROTC %,Seal of Biliteracy %
400013,ASPIRA - EARLY COLLEGE HS,Charter,77,45.5,42.9,.0,.0,5.2,.0,.0,5.2
400022,CHIARTS HS,Contract,133,36.1,33.8,.0,.0,.0,1.5,.0,11.3
400032,CICS - ELLISON HS,Charter,41,2.4,.0,.0,.0,2.4,.0,.0,.0
400033,CICS - LONGWOOD,Charter,78,5.1,.0,.0,.0,2.6,3.8,.0,.0
400034,CICS - NORTHTOWN HS,Charter,218,38.5,15.1,.0,.0,28.9,10.6,.0,6.0
400035,CHICAGO MATH & SCIENCE HS,Charter,82,50.0,32.9,.0,1.2,28.0,7.3,.0,11.0
400051,NOBLE - NOBLE HS,Charter,155,40.6,36.8,.0,.0,.0,1.3,.0,18.7
400052,NOBLE - COMER,Charter,190,11.1,1.6,.0,.0,9.5,1.6,.0,.0
400053,NOBLE - GOLDER HS,Charter,160,26.3,21.9,.0,.0,.0,.6,.0,13.1
400054,NOBLE - PRITZKER HS,Charter,213,26.3,22.5,.0,.5,.0,.0,.0,13.6
400055,NOBLE - RAUNER HS,Charter,128,32.0,28.1,.0,.0,.0,4.7,.0,11.7
400056,NOBLE - ROWE CLARK HS,Charter,96,85.4,3.1,.0,.0,81.3,21.9,.0,2.1
400057,NOBLE - UIC HS,Charter,237,33.3,28.7,.0,.0,.4,8.0,.0,12.2
400058,NLCP - CHRISTIANA HS,Charter,78,.0,.0,.0,.0,.0,.0,.0,.0
400059,NLCP - COLLINS HS,Charter,98,1.0,.0,.0,.0,1.0,.0,.0,.0
400061,PERSPECTIVES - LEADERSHIP HS,Charter,63,41.3,.0,.0,.0,41.3,1.6,.0,.0
400062,PERSPECTIVES - TECH HS,Charter,68,33.8,1.5,.0,.0,33.8,2.9,.0,.0
400064,PERSPECTIVES - JOSLIN HS,Charter,66,25.8,1.5,.0,.0,25.8,1.5,.0,.0
400066,PERSPECTIVES - MATH & SCI HS,Charter,103,22.3,.0,.0,1.0,21.4,.0,.0,.0
400077,U OF C - WOODLAWN HS,Charter,92,38.0,7.6,.0,.0,25.0,14.1,.0,.0
400085,ACERO - GARCIA HS,Charter,137,20.4,18.2,.0,.0,.0,.7,.0,9.5
400086,URBAN PREP - ENGLEWOOD HS,Charter,56,50.0,.0,.0,1.8,46.4,3.6,.0,.0
400091,CHICAGO TECH HS,Contract,86,11.6,.0,.0,.0,11.6,.0,.0,.0
400094,EPIC HS,Charter,107,15.0,12.1,.0,.0,.0,3.7,.0,3.7
400097,NOBLE - BULLS HS,Charter,241,10.4,9.1,.0,.0,.0,.0,.0,4.1
400098,NOBLE - MUCHIN HS,Charter,251,36.7,18.3,.0,.0,16.3,10.0,.0,13.1
400104,INSTITUTO - HEALTH,Charter,154,47.4,22.7,.0,.0,38.3,1.9,.0,9.1
400105,URBAN PREP - BRONZEVILLE HS,Charter,80,13.8,.0,.0,.0,7.5,7.5,.0,.0
400106,NOBLE - JOHNSON HS,Charter,149,4.0,.7,.0,.0,2.0,2.7,.0,.0
400117,NOBLE - HANSBERRY HS,Charter,115,7.0,.0,5.2,.0,.0,1.7,.0,.0
400118,NOBLE - DRW HS,Charter,69,14.5,.0,.0,.0,14.5,.0,.0,.0
400119,LEGAL PREP HS,Charter,50,52.0,.0,.0,.0,52.0,.0,.0,.0
400121,ACERO - DE LA CRUZ,Charter,26,15.4,3.8,.0,.0,15.4,.0,.0,.0
400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options,33,9.1,.0,.0,6.1,3.0,.0,.0,.0
400124,YCCS - MCKINLEY,Options,49,6.1,.0,.0,4.1,2.0,.0,.0,.0
400125,YCCS - ASPIRA PANTOJA,Options,93,6.5,6.5,.0,1.1,.0,.0,.0,.0
400126,YCCS - ASSOCIATION HOUSE,Options,37,8.1,.0,.0,2.7,.0,5.4,.0,.0
400127,YCCS - AUSTIN CAREER,Options,43,2.3,.0,.0,2.3,.0,.0,.0,.0
400128,YCCS - CCA ACADEMY,Options,48,4.2,.0,.0,4.2,.0,.0,.0,.0
400129,YCCS - PROGRESSIVE LEADERSHIP,Options,78,1.3,.0,.0,1.3,.0,.0,.0,.0
400130,YCCS - YOUTH DEVELOPMENT,Options,35,5.7,.0,.0,.0,.0,5.7,.0,.0
400131,YCCS - CAMPOS,Options,64,6.3,.0,.0,3.1,1.6,1.6,.0,.0
400133,YCCS - INNOVATIONS,Options,129,4.7,.0,.0,1.6,3.9,.0,.0,.0
400134,YCCS - ADDAMS,Options,88,3.4,2.3,.0,.0,.0,1.1,.0,.0
400135,YCCS - LATINO YOUTH,Options,61,8.2,3.3,.0,.0,1.6,3.3,.0,.0
400136,YCCS - OLIVE HARVEY,Options,26,38.5,.0,.0,.0,38.5,.0,.0,.0
400137,LITTLE BLACK PEARL HS,Options,24,4.2,.0,.0,.0,.0,4.2,.0,.0
400139,YCCS - SULLIVAN,Options,37,2.7,.0,.0,.0,2.7,.0,.0,.0
400141,YCCS - TRUMAN,Options,93,25.8,1.1,1.1,.0,19.4,10.8,.0,1.1
400143,YCCS - WEST TOWN,Options,55,.0,.0,.0,.0,.0,.0,.0,.0
400144,YCCS - WEST,Options,26,.0,.0,.0,.0,.0,.0,.0,.0
400145,YCCS - YOUTH CONNECTION,Options,40,22.5,.0,.0,.0,22.5,.0,.0,.0
400147,CHICAGO EXCEL HS,Options,53,32.1,.0,.0,1.9,28.3,1.9,.0,.0
400149,ACERO - SOTO HS,Charter,115,13.0,.9,.0,.0,.0,.9,.0,12.2
400150,YCCS - CHATHAM,Options,36,.0,.0,.0,.0,.0,.0,.0,.0
400156,NOBLE - BUTLER HS,Charter,161,3.1,1.9,.0,.0,.6,.6,.0,.0
400157,NOBLE - BAKER HS,Charter,40,5.0,5.0,.0,.0,.0,.0,.0,.0
400161,CHICAGO COLLEGIATE,Charter,28,17.9,.0,.0,.0,.0,17.9,.0,.0
400162,INTRINSIC HS,Charter,158,48.1,33.5,.0,.0,22.8,10.1,.0,9.5
400164,INSTITUTO - JUSTICE HS,Options,42,9.5,2.4,.0,.0,7.1,.0,.0,2.4
400167,HORIZON - SOUTHWEST,Charter,19,36.8,36.8,.0,.0,.0,.0,.0,15.8
400169,NOBLE - ITW SPEER HS,Charter,275,16.0,9.8,.0,.0,.0,.4,.0,7.6
400170,NOBLE - ACADEMY HS,Charter,118,26.3,22.9,.0,.0,1.7,2.5,.0,7.6
400172,ASPIRA - BUSINESS & FINANCE HS,Charter,136,26.5,10.3,.0,.0,19.1,.0,.0,.0
400173,PATHWAYS - BRIGHTON PARK HS,Options,110,11.8,5.5,.0,.0,3.6,.9,1.8,1.8
400175,EXCEL SOUTH SHORE HS,Options,40,20.0,.0,.0,.0,.0,20.0,.0,.0
400176,EXCEL SOUTHWEST HS,Options,26,.0,.0,.0,.0,.0,.0,.0,.0
400179,NOBLE - MANSUETO HS,Charter,284,45.4,28.9,33.8,.0,.0,.4,.0,13.0
400182,CATALYST - MARIA (HS),Charter,133,26.3,23.3,.0,.0,.0,.0,.0,9.0
609674,CHICAGO VOCATIONAL HS,Network 17,177,56.5,.0,.0,24.9,35.0,9.0,1.1,.0
609676,DUNBAR HS,Network 17,55,21.8,.0,.0,18.2,1.8,1.8,.0,.0
609678,JONES HS,ISP,483,91.9,88.8,.0,.0,.2,46.2,.0,18.2
609679,PROSSER HS,Network 15,221,75.1,12.2,38.5,29.9,20.8,2.3,4.5,23.5
609680,PAYTON HS,Network 15,303,92.7,92.4,.0,.0,.0,10.2,.0,23.1
609682,RICHARDS HS,Network 16,39,41.0,.0,.0,33.3,7.7,.0,.0,2.6
609691,NORTH-GRAND HS,Network 15,230,44.8,13.0,.0,17.8,25.7,.9,.0,6.1
609692,SIMEON HS,Network 17,289,24.6,.3,.0,12.1,11.4,2.8,.0,.0
609693,WESTINGHOUSE HS,Network 15,268,50.0,39.2,.0,.7,23.1,23.9,2.2,8.2
609694,HANCOCK HS,Network 15,244,77.0,58.6,.0,.0,38.9,4.5,.0,33.2
609695,AMUNDSEN HS,ISP,309,51.8,2.3,26.5,7.8,31.7,1.6,.0,5.2
609698,BOGAN HS,Network 16,155,40.0,.0,10.3,.6,25.2,7.1,.0,.0
609704,FARRAGUT HS,Network 16,108,46.3,7.4,13.9,.0,15.7,.0,29.6,7.4
609705,FENGER HS,Network 17,42,16.7,.0,.0,.0,.0,.0,16.7,.0
609708,FOREMAN HS,Network 14,100,20.0,.0,.0,.0,14.0,1.0,9.0,2.0
609709,GAGE PARK HS,Network 16,69,49.3,4.3,.0,39.1,5.8,.0,2.9,4.3
609710,HARLAN HS,Network 17,71,11.3,.0,.0,5.6,.0,1.4,5.6,.0
609712,HIRSCH HS,Network 17,15,.0,.0,.0,.0,.0,.0,.0,.0
609713,HYDE PARK HS,Network 17,145,19.3,.0,6.2,6.9,8.3,.0,.0,.0
609715,KELLY HS,Network 16,358,51.1,21.5,15.4,4.7,21.8,4.2,.0,14.0
609716,KELVYN PARK HS,Network 14,57,43.9,14.0,.0,22.8,.0,1.8,19.3,5.3
609718,KENNEDY HS,Network 16,311,44.1,17.4,13.5,2.3,21.2,1.9,.0,12.5
609719,LAKE VIEW HS,Network 14,292,48.3,22.9,.0,.0,33.2,6.5,3.1,4.5
609720,LANE TECH HS,Network 14,1039,88.0,86.7,.0,.0,.0,12.7,2.4,23.4
609722,MANLEY HS,Network 15,10,.0,.0,.0,.0,.0,.0,.0,.0
609723,MARSHALL HS,Network 15,55,21.8,.0,.0,18.2,.0,3.6,.0,.0
609724,MATHER HS,Network 14,344,38.4,29.7,.0,6.7,11.3,1.2,.0,4.1
609725,MORGAN PARK HS,Network 16,205,21.5,.0,13.2,1.0,3.4,3.9,4.4,.0
609726,BROOKS HS,ISP,204,80.4,57.4,.0,.0,69.6,16.2,.0,5.4
609727,PHILLIPS HS,AUSL,128,13.3,.8,.0,.0,10.9,3.9,1.6,.0
609728,ROOSEVELT HS,Network 14,187,32.1,10.7,.0,12.3,20.3,1.6,.5,5.9
609729,SCHURZ HS,Network 14,297,29.3,8.1,10.4,.0,10.8,4.0,1.7,3.7
609730,SENN HS,Network 14,309,44.7,22.3,33.3,.0,.0,8.4,1.9,4.5
609732,STEINMETZ HS,Network 14,265,32.8,3.0,9.8,.0,15.8,2.3,12.1,.4
609733,SULLIVAN HS,Network 14,126,33.3,.0,.0,15.1,27.8,6.3,.0,.0
609734,TAFT HS,Network 14,786,59.5,27.6,22.3,4.1,39.8,2.5,4.3,3.4
609735,TILDEN HS,Network 16,40,25.0,.0,.0,12.5,20.0,7.5,.0,.0
609737,VON STEUBEN HS,Network 14,404,69.6,48.8,.0,19.8,52.7,9.2,.0,6.2
609738,LINCOLN PARK HS,Network 14,491,71.3,51.7,34.8,.0,.2,4.1,4.9,24.8
609739,WASHINGTON HS,Network 17,340,37.6,17.4,23.8,.0,6.2,.9,.0,10.9
609740,WELLS HS,Network 15,63,17.5,6.3,.0,.0,11.1,1.6,3.2,3.2
609741,HUBBARD HS,Network 16,398,62.1,34.2,14.8,.5,41.0,.8,4.8,10.6
609744,NORTHSIDE LEARNING HS,Network 14,26,.0,.0,.0,.0,.0,.0,.0,.0
609745,SOUTHSIDE HS,ISP,78,7.7,.0,.0,3.8,.0,.0,3.8,.0
609746,KENWOOD HS,Network 17,403,90.6,22.1,.0,.0,85.1,14.4,.0,.5
609748,YORK HS,Network 16,35,8.6,.0,.0,.0,8.6,.0,.0,.0
609749,NORTHSIDE PREP HS,Network 14,263,92.0,90.9,.0,.0,.0,12.5,.0,12.9
609750,SIMPSON HS,Network 15,14,21.4,.0,.0,.0,21.4,.0,.0,.0
609751,KING HS,Network 17,120,79.2,3.3,.0,.0,78.3,9.2,.0,.0
609753,CHICAGO AGRICULTURE HS,ISP,154,63.0,21.4,.0,15.6,46.8,17.5,.0,3.9
609754,CHICAGO MILITARY HS,Network 17,53,86.8,5.7,.0,.0,.0,9.4,86.8,3.8
609755,YOUNG HS,ISP,486,84.6,83.7,.0,.0,6.6,10.9,.0,22.0
609756,CURIE HS,Network 15,573,42.6,25.5,15.0,1.7,13.6,.9,1.9,11.0
609759,CLEMENTE HS,Network 15,128,28.9,.0,14.8,12.5,.0,.8,8.6,.0
609760,CARVER MILITARY HS,Network 17,105,79.0,1.0,.0,.0,.0,.0,79.0,1.0
609761,CORLISS HS,Network 17,55,18.2,.0,.0,.0,16.4,10.9,1.8,.0
609762,JULIAN HS,Network 16,80,76.3,5.0,.0,21.3,61.3,1.3,.0,.0
609764,JUAREZ HS,Network 15,359,44.3,.8,12.5,10.6,17.5,8.4,1.4,8.6
609766,VAUGHN HS,Network 14,25,20.0,.0,.0,12.0,.0,8.0,.0,.0
609769,GRAHAM HS,Network 14,47,14.9,2.1,.0,8.5,.0,4.3,2.1,.0
609780,MARINE LEADERSHIP AT AMES HS,Network 14,117,92.3,28.2,.0,.0,40.2,6.0,85.5,13.7
609783,JEFFERSON HS,Network 16,9,*,*,*,*,*,*,*,*
610244,CLARK HS,ISP,85,50.6,.0,.0,5.9,28.2,5.9,28.2,.0
610245,DOUGLASS HS,Network 15,7,*,*,*,*,*,*,*,*
610304,PHOENIX MILITARY HS,ISP,119,88.2,63.0,.0,.0,.0,3.4,78.2,24.4
610323,BOWEN HS,Network 17,40,57.5,.0,.0,2.5,52.5,.0,2.5,.0
610334,RABY HS,Network 15,40,60.0,.0,.0,40.0,20.0,.0,.0,.0
610340,CHICAGO ACADEMY HS,AUSL,138,39.9,21.7,.0,.0,22.5,15.9,.0,9.4
610357,SPRY HS,Network 16,18,44.4,.0,.0,.0,22.2,33.3,.0,.0
610380,WILLIAMS HS,Network 17,17,41.2,.0,.0,41.2,.0,.0,.0,.0
610381,BRONZEVILLE HS,Network 17,12,16.7,.0,16.7,.0,.0,.0,.0,.0
610383,SOCIAL JUSTICE HS,Network 15,73,45.2,9.6,.0,11.0,30.1,19.2,.0,1.4
610384,INFINITY HS,ISP,78,46.2,37.2,.0,6.4,32.1,35.9,.0,25.6
610385,MULTICULTURAL ARTS HIGH SCHOOL,Network 15,32,37.5,.0,.0,3.1,31.3,9.4,.0,6.3
610386,PEACE AND EDUCATION HS,ISP,39,17.9,15.4,2.6,2.6,.0,.0,.0,5.1
610389,ORR HS,AUSL,54,3.7,.0,.0,.0,1.9,1.9,.0,.0
610390,RICKOVER MILITARY HS,ISP,81,91.4,27.2,.0,.0,35.8,1.2,90.1,19.8
610391,LINDBLOM HS,Network 16,225,49.3,43.1,.0,.0,.4,17.3,.0,4.0
610392,WORLD LANGUAGE HS,Network 15,65,47.7,33.8,.0,7.7,.0,4.6,.0,18.5
610394,UPLIFT HS,Network 14,15,73.3,.0,.0,.0,73.3,40.0,.0,.0
610402,DEVRY HS,Network 14,77,100.0,22.1,.0,.0,1.3,100.0,.0,13.0
610495,DUAL ENR OSS SCHOOLS,,3,*,*,*,*,*,*,*,*
610499,COLLINS HS,AUSL,25,32.0,.0,.0,.0,.0,32.0,.0,.0
610513,AIR FORCE HS,Network 16,48,91.7,4.2,.0,.0,4.2,4.2,91.7,.0
610518,AUSTIN CCA HS,Network 15,42,14.3,.0,.0,.0,2.4,11.9,.0,.0
610524,ALCOTT HS,Network 15,72,30.6,18.1,.0,1.4,.0,5.6,.0,11.1
610529,OGDEN HS,Network 15,135,39.3,1.5,35.6,.0,.0,7.4,.0,9.6
610543,SOLORIO HS,AUSL,290,49.7,39.0,.0,.0,29.7,7.6,.0,26.9
610547,SOUTH SHORE INTL HS,Network 17,118,47.5,.0,44.1,.0,1.7,1.7,2.5,.0
610557,PATHWAYS - ASHBURN HS,Options,71,12.7,2.8,.0,2.8,5.6,2.8,.0,1.4
610558,GOODE HS,Network 16,204,40.2,13.2,.0,1.5,31.4,26.5,.0,5.9
610561,CRANE MEDICAL HS,Network 15,83,50.6,2.4,.0,2.4,48.2,2.4,.0,.0
610563,BACK OF THE YARDS HS,ISP,254,59.1,36.6,47.2,.0,.0,3.1,.0,15.7
610564,DISNEY II HS,Network 14,97,36.1,32.0,.0,2.1,4.1,11.3,.0,3.1
610565,EXCEL ENGLEWOOD HS,Options,39,12.8,.0,.0,.0,12.8,.0,.0,.0
610568,PATHWAYS - AVONDALE HS,Options,75,12.0,4.0,.0,2.7,1.3,4.0,2.7,.0
610569,OMBUDSMAN - NORTHWEST HS,Options,96,12.5,3.1,.0,6.3,3.1,1.0,.0,.0
610570,OMBUDSMAN - SOUTH HS,Options,102,12.7,1.0,.0,2.0,8.8,3.9,1.0,1.0
610571,OMBUDSMAN - WEST HS,Options,45,20.0,6.7,.0,13.3,2.2,.0,.0,.0
610573,SAFE ACHIEVE HS,Options,3,*,*,*,*,*,*,*,*
610587,DYETT ARTS HS,Network 17,134,26.9,.7,.0,.0,20.9,6.7,.0,.0
610593,OMBUDSMAN - ROSELAND HS,Options,35,2.9,.0,.0,.0,2.9,.0,.0,.0
610594,PATHWAYS - HUMBOLDT PARK HS,Options,33,21.2,6.1,6.1,3.0,3.0,6.1,.0,3.0
,,,,,,,,,,,