School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,School_Type
400083,5810,0,ACERO - PAZ,Acero Charter Schools - Octavio Paz Campus,Charter
609903,3200,0,EDWARDS,Richard Edwards Elementary School,Neighborhood
609941,3550,0,RANDOLPH,Asa Philip Randolph Elementary School,Magnet
610170,5860,20071,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy,Neighborhood
609772,2020,22021,ADDAMS,Jane Addams Elementary School,Neighborhood
609773,2030,22031,AGASSIZ,Louis A Agassiz Elementary School,Neighborhood
609774,2040,22041,ALCOTT ES,Louisa May Alcott College Preparatory ES,Neighborhood
610524,8035,22041,ALCOTT HS,Louisa May Alcott College Preparatory HS,Small
609777,2070,22061,ARMOUR,Phillip D Armour Elementary School,Neighborhood
610284,7060,22071,NEW FIELD,New Field Elementary School,Neighborhood
609779,2080,22081,ARMSTRONG G,George Armstrong International Studies ES,Neighborhood
609782,2110,22091,AUDUBON,John J Audubon Elementary School,Neighborhood
609786,2130,22101,AVALON PARK,Avalon Park Elementary School,Neighborhood
609788,2150,22131,BARNARD,Alice L Barnard Computer Math & Science Ctr ES,Neighborhood
609789,2160,22141,BARRY,John Barry Elementary School,Neighborhood
609790,2170,22151,BARTON,Clara Barton Elementary School,Neighborhood
609791,2180,22161,BASS,Perkins Bass Elementary School,Neighborhood
609792,2190,22171,BATEMAN,Newton Bateman Elementary School,Neighborhood
609793,2200,22181,NICHOLSON,Lillian R. Nicholson STEM Academy,Neighborhood
609795,2230,22191,CLARK ES,George Rogers Clark Elementary School,Neighborhood
609796,2240,22201,BEAUBIEN,Jean Baptiste Beaubien Elementary School,Regional gifted center
609797,2250,22211,BEIDLER,Jacob Beidler Elementary School,Neighborhood
609798,2260,22221,BELDING,Hiram H Belding Elementary School,Neighborhood
609799,2270,22231,BELL,Alexander Graham Bell Elementary School,Regional gifted center
609800,2280,22241,BENNETT,Frank I Bennett Elementary School,Neighborhood
610530,2015,22251,SOUTH SHORE ES,South Shore Fine Arts Academy,Small
609803,2300,22261,BLAINE,James G Blaine Elementary School,Neighborhood
609804,2320,22271,BOONE,Daniel Boone Elementary School,Neighborhood
609805,2330,22281,JOPLIN,Scott Joplin Elementary School,Neighborhood
609806,2340,22291,BRADWELL,Myra Bradwell Communications Arts & Sciences ES,Neighborhood
609808,2360,22301,HALEY,Alex Haley Elementary Academy,Neighborhood
609809,2370,22311,BRENTANO,Lorenz Brentano Math & Science Academy ES,Neighborhood
609810,2380,22321,BRIDGE,Norman A Bridge Elementary School,Neighborhood
609811,2390,22331,BRIGHT,Orville T Bright Elementary School,Neighborhood
610541,8330,22341,LORCA,Federico Garcia Lorca Elementary School,Neighborhood
609812,2400,22351,BROWN W,William H Brown Elementary School,Neighborhood
609813,2410,22361,BROWNELL,Charles S Brownell Elementary School,Neighborhood
609815,2430,22371,BOUCHET,Edward A Bouchet Math & Science Academy ES,Neighborhood
610542,8440,22381,WEST RIDGE,West Ridge Elementary School,Neighborhood
609817,2440,22391,BUDLONG,Lyman A Budlong Elementary School,Neighborhood
609818,2450,22401,BURBANK,Luther Burbank Elementary School,Neighborhood
609819,2460,22411,BURKE,Edmond Burke Elementary School,Neighborhood
609820,2470,22421,BURLEY,Augustus H Burley Elementary School,Neighborhood
609821,2480,22431,BURNHAM,Burnham Elementary Inclusive Academy,Neighborhood
610532,8021,22441,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science,Neighborhood
610368,8060,22451,HUGHES L,Langston Hughes Elementary School,Neighborhood
609826,2510,22461,CASTELLANOS,Rosario Castellanos Elementary School,Neighborhood
609828,2530,22471,BURR,Jonathan Burr Elementary School,Neighborhood
609829,2540,22481,BURROUGHS,John C Burroughs Elementary School,Neighborhood
609830,2550,22491,BRUNSON,Milton Brunson Math & Science Specialty ES,Neighborhood
609832,2570,22501,BYRNE,Michael M Byrne Elementary School,Neighborhood
609833,2580,22511,CALDWELL,Charles P Caldwell Academy of Math & Science ES,Neighborhood
609834,2590,22521,LITTLE VILLAGE,Little Village Elementary School,Neighborhood
609835,2610,22531,CAMERON,Daniel R Cameron Elementary School,Neighborhood
609836,2620,22541,CANTY,Arthur E Canty Elementary School,Neighborhood
609837,2630,22551,CARNEGIE,Andrew Carnegie Elementary School,Regional gifted center
609839,2650,22571,CARROLL,Carroll-Rosenwald Specialty Elementary School,Neighborhood
610533,8023,22581,PRIETO,Dr Jorge Prieto Math and Science,Neighborhood
610534,8024,22591,SKINNER NORTH,Skinner North,Classical
609842,2660,22601,CARSON,Rachel Carson Elementary School,Neighborhood
609844,2670,22611,CARTER,William W Carter Elementary School,Neighborhood
609845,2690,22621,CARVER G,George Washington Carver Primary School,Neighborhood
610586,9681,22631,SOUTHEAST,Southeast Area Elementary School,Neighborhood
609848,2710,22641,ALDRIDGE,Ira F Aldridge Elementary School,Neighborhood
609849,2720,22651,CASSELL,George F Cassell Elementary School,Neighborhood
609850,2730,22661,GREELEY,Horace Greeley Elementary School,Neighborhood
609851,2740,22671,CHALMERS,Thomas Chalmers Specialty Elementary School,Neighborhood
609852,2750,22681,CHAPPELL,Eliza Chappell Elementary School,Neighborhood
610539,8600,22691,CAMRAS,Marvin Camras Elementary School,Neighborhood
609853,2760,22701,CHASE,Salmon P Chase Elementary School,Neighborhood
610548,8678,22711,STEM,STEM Magnet Academy,Magnet
609854,2770,22721,CHOPIN,Frederic Chopin Elementary School,Neighborhood
609856,2790,22731,CLAY,Henry Clay Elementary School,Neighborhood
609857,2800,22741,CLEVELAND,Grover Cleveland Elementary School,Neighborhood
609859,2810,22751,CLINTON,DeWitt Clinton Elementary School,Neighborhood
609861,2820,22761,CLISSOLD,Henry R Clissold Elementary School,Neighborhood
609862,2830,22771,COLES,Edward Coles Elementary Language Academy,Neighborhood
609863,2850,22791,COLUMBUS,Christopher Columbus Elementary School,Neighborhood
609864,2860,22801,COOK,John W Cook Elementary School,Neighborhood
609865,2870,22811,JORDAN,Jordan Elementary Community School,Neighborhood
609866,2880,22821,COONLEY,John C Coonley Elementary School,Regional gifted center
609867,2890,22831,COOPER,Peter Cooper Elementary Dual Language Academy,Neighborhood
609869,2900,22841,LANGFORD,Anna R. Langford Community Academy,Neighborhood
609870,2910,22851,CORKERY,Daniel J Corkery Elementary School,Neighborhood
609872,2930,22861,PEREZ,Manuel Perez Elementary School,Neighborhood
609874,2950,22871,DIRKSEN,Everett McKinley Dirksen Elementary School,Neighborhood
609875,2960,22881,DARWIN,Charles R Darwin Elementary School,Neighborhood
609876,2970,22891,DAVIS N,Nathan S Davis Elementary School,Neighborhood
609879,2980,22901,DAWES,Charles Gates Dawes Elementary School,Neighborhood
610544,8660,22921,AZUELA,Mariano Azuela Elementary School,Neighborhood
609883,3010,22931,DENEEN,Charles S Deneen Elementary School,Neighborhood
609884,3020,22941,DEVER,William E Dever Elementary School,Neighborhood
609885,3030,22951,DEWEY,Dewey Elementary Academy of Fine Arts,Neighborhood
609887,3040,22971,DIXON,Arthur Dixon Elementary School,Neighborhood
609891,3070,22991,DOOLITTLE,James R Doolittle Jr Elementary School,Neighborhood
609893,3080,23001,DORE,John C Dore Elementary School,Neighborhood
609894,3100,23011,DRAKE,John B Drake Elementary School,Neighborhood
609896,3120,23021,DRUMMOND,Thomas Drummond Elementary School,Magnet
609897,3130,23031,EARLE,Charles W Earle Elementary School,Neighborhood
609898,3140,23041,EBERHART,John F Eberhart Elementary School,Neighborhood
609899,3150,23051,EBINGER,Christian Ebinger Elementary School,Neighborhood
609900,3160,23061,CURTIS,George W Curtis Elementary School,Neighborhood
609901,3170,23071,EDGEBROOK,Edgebrook Elementary School,Neighborhood
609904,3220,23101,ELLINGTON,Edward K Ellington Elementary School,Neighborhood
609908,3250,23131,ESMOND,Esmond Elementary School,Neighborhood
609909,3260,23141,EVERETT,Edward Everett Elementary School,Neighborhood
609910,3270,23151,FALCONER,Laughlin Falconer Elementary School,Neighborhood
609912,3280,23161,FARNSWORTH,James B Farnsworth Elementary School,Neighborhood
609917,3330,23201,FERNWOOD,Fernwood Elementary School,Neighborhood
609918,3350,23211,FIELD,Eugene Field Elementary School,Neighborhood
609919,3360,23221,FISKE,John Fiske Elementary School,Neighborhood
609921,3380,23231,TELPOCHCALLI,Telpochcalli Elementary School,Neighborhood
609924,3400,23241,FORT DEARBORN,Fort Dearborn Elementary School,Neighborhood
609925,3410,23251,KELLMAN,Joseph Kellman Corporate Community ES,Neighborhood
609927,3430,23261,FOSTER PARK,Foster Park Elementary School,Neighborhood
609928,3440,23271,FULLER,Melville W Fuller Elementary School,Neighborhood
609929,3450,23281,FULTON,Robert Fulton Elementary School,Neighborhood
609930,3460,23291,FUNSTON,Frederick Funston Elementary School,Neighborhood
609937,3510,23301,GARVY,John W Garvy Elementary School,Neighborhood
609938,3520,23311,GARY,Joseph E Gary Elementary School,Neighborhood
609939,3530,23321,GILLESPIE,Frank L Gillespie Elementary School,Neighborhood
609942,3560,23341,GOETHE,Johann W von Goethe Elementary School,Neighborhood
609943,3570,23351,OWENS,Jesse Owens Elementary Community Academy,Neighborhood
609944,3580,23361,GRISSOM,Virgil Grissom Elementary School,Neighborhood
609945,3590,23371,GOUDY,William C. Goudy Technology Academy,Neighborhood
610588,0,23381,RICHARDSON,Robert J. Richardson Middle School,Neighborhood
609947,3600,23391,GRAHAM ES,Alexander Graham Elementary School,Neighborhood
609949,3620,23401,GRAY,William P Gray Elementary School,Neighborhood
609950,3630,23411,ORTIZ DE DOMINGUEZ,Josefa Ortiz De Dominguez Elementary School,Neighborhood
609951,3640,23421,ARIEL,Ariel Elementary Community Academy,Small
609952,3650,23431,GREENE,Nathanael Greene Elementary School,Neighborhood
609954,3660,23441,GREGORY,John Milton Gregory Elementary School,Neighborhood
609955,3670,23451,GRESHAM,Walter Q Gresham Elementary School,Neighborhood
609956,3680,23461,GRIMES,Robert L Grimes Elementary School,Neighborhood
609959,3700,23481,HAINES,John Charles Haines Elementary School,Neighborhood
609960,3710,23491,HALE,Nathan Hale Elementary School,Neighborhood
609963,3730,23501,HAMILTON,Alexander Hamilton Elementary School,Neighborhood
609964,3740,23511,HAMLINE,John H Hamline Elementary School,Neighborhood
609966,3750,23531,HAMMOND,Charles G Hammond Elementary School,Neighborhood
609967,3760,23541,FINKL,William F Finkl Elementary School,Neighborhood
609968,3770,23551,MCAULIFFE,Sharon Christa McAuliffe Elementary School,Neighborhood
609969,3780,23561,HARTE,Bret Harte Elementary School,Neighborhood
609971,3800,23581,HARVARD,John Harvard Elementary School of Excellence,Neighborhood
609972,3810,23591,HAUGAN,Helge A Haugan Elementary School,Neighborhood
609973,3820,23611,ZAPATA,Emiliano Zapata Elementary Academy,Neighborhood
609976,3850,23621,HAYT,Stephen K Hayt Elementary School,Neighborhood
609977,3860,23631,WOODLAWN,Woodlawn Community Elementary School,Small
609978,3870,23641,SMITH,Wendell Smith Elementary School,Neighborhood
609979,3880,23651,HEALY,Robert Healy Elementary School,Neighborhood
609981,3890,23671,HEARST,Phoebe Apperson Hearst Elementary School,Neighborhood
609983,3900,23681,HEDGES,James Hedges Elementary School,Neighborhood
609985,3910,23711,HEFFERAN,Helen M Hefferan Elementary School,Neighborhood
609986,3920,23721,HENDERSON,Charles R Henderson Elementary School,Neighborhood
609988,3940,23731,HENRY,Patrick Henry Elementary School,Neighborhood
609990,3960,23751,SOUTH LOOP,South Loop Elementary School,Regional gifted center
609991,3970,23771,HERZL,Theodore Herzl Elementary School,Neighborhood
609993,3980,23791,LARA,Agustin Lara Elementary Academy,Neighborhood
609994,4000,23801,HIBBARD,William G Hibbard Elementary School,Neighborhood
609995,4010,23811,HITCH,Rufus M Hitch Elementary School,Neighborhood
609996,4020,23821,HOLDEN,Charles N Holden Elementary School,Neighborhood
609997,4030,23831,HOLMES,Oliver Wendell Holmes Elementary School,Neighborhood
610000,4060,23851,HOWE,Julia Ward Howe Elementary School of Excellence,Neighborhood
610002,4080,23871,HOYNE,Thomas Hoyne Elementary School,Neighborhood
610003,4090,23881,CUFFE,Paul Cuffe Math-Science Technology Academy ES,Neighborhood
610004,4100,23891,CULLEN,Countee Cullen Elementary School,Neighborhood
610005,4110,23901,HUGHES C,Charles Evans Hughes Elementary School,Neighborhood
610006,4120,23911,HURLEY,Edward N Hurley Elementary School,Neighborhood
610010,4170,23921,JAHN,Friedrich L. Jahn Elementary of the Fine Arts,Neighborhood
610011,4180,23931,JAMIESON,Minnie Mars Jamieson Elementary School,Neighborhood
610012,4200,23951,JENNER,Edward Jenner Elementary Academy of the Arts,Neighborhood
610015,4230,23961,JUNGMAN,Joseph Jungman Elementary School,Neighborhood
610016,4240,23971,KELLOGG,Kate S Kellogg Elementary School,Neighborhood
610019,4270,23991,KERSHAW,Joshua D Kershaw Elementary School,Magnet
610021,4290,24011,CASALS,Pablo Casals Elementary School,Neighborhood
610022,4300,24021,KILMER,Joyce Kilmer Elementary School,Neighborhood
610024,4320,24051,CARDENAS,Lazaro Cardenas Elementary School,Neighborhood
610026,4330,24071,KINZIE,John H Kinzie Elementary School,Neighborhood
610027,4350,24081,KIPLING,Rudyard Kipling Elementary School,Neighborhood
610029,4380,24101,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,Neighborhood
610032,4410,24131,GREEN,Wendell E Green Elementary School,Neighborhood
610036,4450,24151,LEWIS,Leslie Lewis Elementary School,Neighborhood
610037,4470,24171,LIBBY,Arthur A Libby Elementary School,Neighborhood
610038,4480,24191,LINCOLN,Abraham Lincoln Elementary School,Neighborhood
610039,4490,24201,VON LINNE,Carl von Linne Elementary School,Neighborhood
610040,4500,24221,LLOYD,Henry D Lloyd Elementary School,Neighborhood
610041,4510,24231,LOCKE J,Josephine C Locke Elementary School,Neighborhood
610043,4530,24241,LOVETT,Joseph Lovett Elementary School,Neighborhood
610044,4540,24251,LOWELL,James Russell Lowell Elementary School,Neighborhood
610046,4560,24281,LYON,Mary Lyon Elementary School,Neighborhood
610047,4570,24301,MADISON,James Madison Elementary School,Neighborhood
610048,4580,24311,MANIERRE,George Manierre Elementary School,Neighborhood
610052,4610,24331,MANN,Horace Mann Elementary School,Neighborhood
610053,4620,24341,MARQUETTE,Marquette Elementary School,Neighborhood
610054,4630,24361,MARSH,John L Marsh Elementary School,Neighborhood
610055,4640,24371,FARADAY,Michael Faraday Elementary School,Neighborhood
610056,4650,24381,MASON,Roswell B Mason Elementary School,Small
610059,4680,24401,MAYER,Oscar F Mayer Elementary School,Magnet
610062,4710,24421,MCCLELLAN,George B McClellan Elementary School,Neighborhood
610063,4720,24431,MCCORMICK,Cyrus H McCormick Elementary School,Neighborhood
610065,4740,24441,TILL,Emmett Louis Till Math and Science Academy,Neighborhood
610067,4760,24451,MCKAY,Francis M McKay Elementary School,Neighborhood
610068,4770,24461,HANSON PARK,Hanson Park Elementary School,Neighborhood
610070,4800,24471,MCPHERSON,James B McPherson Elementary School,Neighborhood
610073,4840,24511,MITCHELL,Ellen Mitchell Elementary School,Neighborhood
610074,4850,24531,MONROE,James Monroe Elementary School,Neighborhood
610076,4870,24551,MOOS,Bernhard Moos Elementary School,Neighborhood
610077,4880,24571,MORRILL,Donald Morrill Math & Science Elementary School,Neighborhood
610082,4940,24591,MOUNT GREENWOOD,Mount Greenwood Elementary School,Neighborhood
610086,4980,24601,MOUNT VERNON,Mount Vernon Elementary School,Neighborhood
610088,5000,24611,MOZART,Wolfgang A Mozart Elementary School,Neighborhood
610089,5020,24621,MURPHY,John B Murphy Elementary School,Neighborhood
610091,5040,24631,BROWN R,Ronald Brown Elementary Community Academy,Neighborhood
610092,5050,24641,NASH,Henry H Nash Elementary School,Neighborhood
610093,5060,24651,NEIL,Jane A Neil Elementary School,Neighborhood
610094,5070,24661,NETTELHORST,Louis Nettelhorst Elementary School,Neighborhood
610096,5090,24671,NIGHTINGALE,Florence Nightingale Elementary School,Neighborhood
610097,5100,24681,NIXON,William P Nixon Elementary School,Neighborhood
610098,5110,24691,NOBEL,Alfred Nobel Elementary School,Neighborhood
610099,5120,24711,NORWOOD PARK,Norwood Park Elementary School,Neighborhood
610100,5140,24721,WEST PARK,West Park Elementary Academy,Neighborhood
610101,5150,24731,OGDEN ES,William B Ogden Elementary School,Neighborhood
610529,8083,24731,OGDEN HS,Ogden International High School,Neighborhood
610102,5170,24741,OGLESBY,Richard J Oglesby Elementary School,Neighborhood
610103,5180,24751,OKEEFFE,Isabelle C O'Keeffe Elementary School,Neighborhood
610104,5190,24761,ONAHAN,William J Onahan Elementary School,Neighborhood
610105,5200,24771,ORIOLE PARK,Oriole Park Elementary School,Neighborhood
610106,5210,24781,PICCOLO,Brian Piccolo Elementary Specialty School,Neighborhood
610107,5220,24791,OTIS,James Otis Elementary School,Neighborhood
610108,5230,24801,OTOOLE,Luke O'Toole Elementary School,Neighborhood
610110,5250,24811,WELLS ES,Ida B Wells Preparatory Elementary Academy,Small
610111,5260,24821,PALMER,John Palmer Elementary School,Neighborhood
610115,5290,24841,PARK MANOR,Park Manor Elementary School,Neighborhood
610117,5310,24851,PASTEUR,Louis Pasteur Elementary School,Neighborhood
610120,5340,24871,PECK,Ferdinand Peck Elementary School,Neighborhood
610121,5350,24881,IRVING,Washington Irving Elementary School,Neighborhood
610122,5360,24891,PEIRCE,Helen Peirce International Studies ES,Neighborhood
610123,5370,24911,PENN,William Penn Elementary School,Neighborhood
610124,5380,24921,WASHINGTON H ES,Harold Washington Elementary School,Neighborhood
610125,5390,24931,RUIZ,Irma C Ruiz Elementary School,Neighborhood
610127,5410,24941,PETERSON,Mary Gage Peterson Elementary School,Neighborhood
610128,5420,24951,GARVEY,Marcus Moziah Garvey Elementary School,Neighborhood
610129,5430,24961,PICKARD,Josiah Pickard Elementary School,Neighborhood
610130,5440,24971,PIRIE,John T Pirie Fine Arts & Academic Center ES,Neighborhood
610131,5450,24981,PLAMONDON,Ambrose Plamondon Elementary School,Neighborhood
610133,5470,24991,WARD L,Laura S Ward Elementary School,Neighborhood
610135,5490,25011,PORTAGE PARK,Portage Park Elementary School,Neighborhood
610136,5500,25021,PRESCOTT,William H Prescott Elementary School,Neighborhood
610137,5510,25031,PRUSSING,Ernst Prussing Elementary School,Neighborhood
610139,5530,25041,PULLMAN,George M Pullman Elementary School,Neighborhood
610141,5550,25061,RAVENSWOOD,Ravenswood Elementary School,Neighborhood
610142,5560,25071,RAY,William H Ray Elementary School,Neighborhood
610143,5580,25091,REAVIS,William C Reavis Math & Science Specialty ES,Neighborhood
610144,5590,25101,REILLY,Frank W Reilly Elementary School,Neighborhood
610145,5600,25111,REINBERG,Peter A Reinberg Elementary School,Neighborhood
610146,5610,25121,REVERE,Paul Revere Elementary School,Neighborhood
610147,5630,25141,ROGERS,Philip Rogers Elementary School,Neighborhood
610148,5640,25151,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,Neighborhood
610152,5660,25181,RUGGLES,Martha Ruggles Elementary School,Neighborhood
610153,5670,25191,RYDER,William H Ryder Math & Science Specialty ES,Neighborhood
610155,5690,25211,SAUGANASH,Sauganash Elementary School,Neighborhood
610157,5710,25231,SAWYER,Sidney Sawyer Elementary School,Neighborhood
610159,5730,25241,SCAMMON,Jonathan Y Scammon Elementary School,Neighborhood
610165,5800,25291,SCHUBERT,Franz Peter Schubert Elementary School,Neighborhood
610167,5820,25301,SEWARD,William H Seward Communication Arts Academy ES,Neighborhood
610171,5880,25331,MIRELES,Arnold Mireles Elementary Academy,Neighborhood
610172,5890,25341,SHERMAN,William T Sherman Elementary School,Neighborhood
610173,5900,25351,SHERWOOD,Jesse Sherwood Elementary School,Neighborhood
610174,5910,25361,SHIELDS,James Shields Elementary School,Neighborhood
610175,5920,25371,SHOESMITH,Beulah Shoesmith Elementary School,Neighborhood
610176,5930,25381,SHOOP,John D Shoop Math-Science Technical Academy ES,Neighborhood
610178,5950,25391,SCHMID,Theophilus Schmid Elementary School,Neighborhood
610179,5960,25401,SMYSER,Washington D Smyser Elementary School,Neighborhood
610180,5970,25411,SMYTH,John M Smyth Elementary School,Magnet
610182,5980,25431,SOLOMON,Hannah G Solomon Elementary School,Neighborhood
610183,6000,25441,SPENCER,Spencer Technology Academy,Neighborhood
610184,6010,25451,SPRY ES,John Spry Elementary Community School,Neighborhood
610185,6030,25471,STEVENSON,Adlai E Stevenson Elementary School,Neighborhood
610188,6050,25491,DUNNE,Dunne Technology Academy,Neighborhood
610192,6080,25521,STOWE,Harriet Beecher Stowe Elementary School,Neighborhood
610193,6100,25541,NEW SULLIVAN,William K New Sullivan Elementary School,Neighborhood
610195,6120,25561,SUTHERLAND,Elizabeth H Sutherland Elementary School,Neighborhood
610196,6130,25571,SWIFT,George B Swift Elementary Specialty School,Neighborhood
610197,6140,25581,TALCOTT,Mancel Talcott Elementary School,Neighborhood
610198,6150,25591,TAYLOR,Douglas Taylor Elementary School,Neighborhood
610200,6180,25601,THORP J,James N Thorp Elementary School,Neighborhood
610202,6210,25621,TILTON,George W Tilton Elementary School,Neighborhood
610203,6220,25631,TONTI,Enrico Tonti Elementary School,Neighborhood
610206,6240,25661,TWAIN,Mark Twain Elementary School,Neighborhood
610208,6260,25671,LAVIZZO,Mildred I Lavizzo Elementary School,Neighborhood
610209,6270,25681,VOLTA,Alessandro Volta Elementary School,Neighborhood
610213,6300,25711,WADSWORTH,James Wadsworth Elementary School,Neighborhood
610216,6320,25731,WALSH,John A Walsh Elementary School,Neighborhood
610217,6330,25751,WARD J,James Ward Elementary School,Neighborhood
610218,6350,25761,WARREN,Joseph Warren Elementary School,Neighborhood
610219,6360,25771,WASHINGTON G ES,George Washington Elementary School,Neighborhood
610220,6370,25781,WATERS,Thomas J Waters Elementary School,Neighborhood
610221,6380,25791,WEBSTER,Daniel Webster Elementary School,Neighborhood
610223,6390,25811,WENTWORTH,Daniel S Wentworth Elementary School,Neighborhood
610225,6420,25831,WHISTLER,John Whistler Elementary School,Neighborhood
610227,6440,25841,WHITNEY,Eli Whitney Elementary School,Neighborhood
610228,6450,25861,WHITTIER,John Greenleaf Whittier Elementary School,Neighborhood
610229,6460,25871,PRITZKER,A.N. Pritzker School,Regional gifted center
610230,6470,25881,WILDWOOD,Wildwood IB World Magnet School,Magnet
610234,6510,25911,YATES,Richard Yates Elementary School,Neighborhood
610235,6520,25921,YOUNG ES,Ella Flagg Young Elementary School,Neighborhood
610237,6540,25931,BEETHOVEN,Ludwig Van Beethoven Elementary School,Neighborhood
610238,6550,25941,BOND,Carrie Jacobs Bond Elementary School,Neighborhood
610239,6560,25951,DALEY,Richard J Daley Elementary Academy,Neighborhood
610242,6600,25991,BRENNEMANN,Joseph Brennemann Elementary School,Neighborhood
610251,6730,26021,CATHER,Willa Cather Elementary School,Neighborhood
610252,6740,26031,DETT,Robert Nathaniel Dett Elementary School,Neighborhood
610254,6760,26051,DVORAK,Dvorak Technology Academy,Neighborhood
610256,6780,26061,ROBINSON,Jackie Robinson Elementary School,Neighborhood
610257,6800,26091,MORTON,Morton School of Excellence,Neighborhood
610263,6860,26141,DULLES,John Foster Dulles Elementary School,Neighborhood
610268,6900,26191,ASHE,Arthur R Ashe Elementary School,Neighborhood
610269,6910,26201,MCCUTCHEON,John T McCutcheon Elementary School,Neighborhood
610274,6940,26231,JOHNSON,James Weldon Johnson Elementary School,Neighborhood
610276,6950,26251,MOLLISON,Irvin C Mollison Elementary School,Neighborhood
610279,6970,26281,TANNER,Henry O Tanner Elementary School,Neighborhood
610281,7010,26291,POWELL,Adam Clayton Powell Paideia Community Academy ES,Neighborhood
610282,7040,26301,MCNAIR,Ronald E McNair Elementary School,Neighborhood
610290,7150,26321,MAYS,Benjamin E Mays Elementary Academy,Neighborhood
610291,7170,26331,LEE,Richard Henry Lee Elementary School,Neighborhood
610293,7190,26351,MELODY,Genevieve Melody Elementary School,Neighborhood
610299,7250,26371,KING ES,Dr. Martin L. King Jr Academy of Social Justice,Neighborhood
610300,7260,26381,WESTCOTT,Oliver S Westcott Elementary School,Neighborhood
610305,7320,26391,LELAND,George Leland Elementary School,Neighborhood
610312,7390,26421,MCDOWELL,Mary E McDowell Elementary School,Neighborhood
610315,7440,26431,WHITE,Edward White Elementary Career Academy,Neighborhood
610316,7450,26441,EARHART,Amelia Earhart Options for Knowledge ES,Neighborhood
610317,7470,26451,BRIGHTON PARK,Brighton Park Elementary School,Neighborhood
610319,7490,26461,EVERGREEN,Evergreen Academy Middle School,Neighborhood
610339,7760,26521,STAGG,Amos Alonzo Stagg Elementary School,Neighborhood
610345,7820,26541,WOODSON,Carter G Woodson South Elementary School,Neighborhood
610362,7990,26591,EVERS,Medgar Evers Elementary School,Neighborhood
610364,8010,26601,DUBOIS,William E B Dubois Elementary School,Neighborhood
610366,8030,26621,WACKER,Charles H Wacker Elementary School,Neighborhood
610367,8050,26631,DEPRIEST,Oscar DePriest Elementary School,Neighborhood
610369,8090,26651,JACKSON M,Mahalia Jackson Elementary School,Neighborhood
